beachId,beachName,previousStatus,newStatus,confidence,source,license,author,sourcePageUrl,imageUrl,thumbnailUrl,matchReason,searchQueryUsed,needsHumanReview
1733,Gerania,missing,missing,0,local_placeholder,unknown,,,,,Milos match; license accepted for commercial app use; good image dimensions; capped: file title describes non-beach context; capped: no exact beach name and no beach/coast/sea term; capped: no exact beach name match; capped: stock photo lacks exact beach name and beach title context,Γερανιά Milos,true
1732,Gerontas,candidate,candidate,0.69,openverse_source,CC BY 2.0,limitsios,https://www.flickr.com/photos/58661913@N00/28745938175,https://live.staticflickr.com/8811/28745938175_2a96cc35f3_b.jpg,https://api.openverse.org/v1/images/b57544db-3b98-4391-9cd5-473e5208020f/thumb/,exact beach name match; Milos match; license accepted for commercial app use; usable image dimensions; free Creative Commons source: Openverse; capped: no beach/coast/sea term,Gerontas Milos,true
1735,Kalamos,missing,missing,0,local_placeholder,unknown,,,,,Milos match; license accepted for commercial app use; good image dimensions; capped: file title describes non-beach context; capped: no exact beach name and no beach/coast/sea term; capped: no exact beach name match; capped: stock photo lacks exact beach name and beach title context,Κάλαμος Milos,true
1739,Kampanes,missing,missing,0,local_placeholder,unknown,,,,,Milos match; license accepted for commercial app use; good image dimensions; preferred source: Wikimedia Commons; capped: metadata suggests private people may be the main subject; capped: metadata suggests logo/brand risk; capped: no exact beach name and no beach/coast/sea term; capped: no exact beach name match,Kampanes Milos,true
1736,Kapros,missing,missing,0,local_placeholder,unknown,,,,,Milos match; beach/coast/sea term present; license accepted for commercial app use; good image dimensions; capped: metadata suggests private people may be the main subject; capped: no exact beach name match,Κάπρος Milos,true
1737,Katergo,missing,missing,0,local_placeholder,unknown,,,,,Milos match; license accepted for commercial app use; good image dimensions; capped: file title describes non-beach context; capped: no exact beach name and no beach/coast/sea term; capped: no exact beach name match; capped: stock photo lacks exact beach name and beach title context,Κάτεργο Milos,true
1738,Kipoi,missing,missing,0,local_placeholder,unknown,,,,,exact beach name match; Milos match; license accepted for commercial app use; usable image dimensions; preferred source: Wikimedia Commons; specific beach alias match; capped: file title describes non-beach context; capped: non-beach context without beach/coast/sea term,Kipoi Milos,true
1740,Lagkada,verified,verified,0.96,wikimedia_commons,CC BY-SA 3.0,rene boulay,https://commons.wikimedia.org/wiki/File:Cyclades_Milos_Adamantas_Langada_Plage_-_panoramio.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b0/Cyclades_Milos_Adamantas_Langada_Plage_-_panoramio.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Cyclades_Milos_Adamantas_Langada_Plage_-_panoramio.jpg/960px-Cyclades_Milos_Adamantas_Langada_Plage_-_panoramio.jpg,exact beach name match; Milos match; beach/coast/sea term present; license accepted for commercial app use; good image dimensions; preferred source: Wikimedia Commons; specific beach alias match,Langada Milos,false
1741,Navtikos Omilos Milou,missing,missing,0,local_placeholder,unknown,,,,,Milos match; license accepted for commercial app use; good image dimensions; capped: file title describes non-beach context; capped: no exact beach name and no beach/coast/sea term; capped: no exact beach name match; capped: stock photo lacks exact beach name and beach title context,Ναυτικός Όμιλος Μήλου Milos,true
1742,Nerodafni,missing,missing,0,local_placeholder,unknown,,,,,Milos match; beach/coast/sea term present; license accepted for commercial app use; good image dimensions; capped: metadata suggests private people may be the main subject; capped: no exact beach name match,Νεροδάφνη Milos,true
1743,Palaiochori,verified,verified,0.96,wikimedia_commons,CC BY-SA 4.0,Zde,"https://commons.wikimedia.org/wiki/File:Palaiochori_beach,_Milos,_23M0824.jpg",https://upload.wikimedia.org/wikipedia/commons/8/88/Palaiochori_beach%2C_Milos%2C_23M0824.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Palaiochori_beach%2C_Milos%2C_23M0824.jpg/960px-Palaiochori_beach%2C_Milos%2C_23M0824.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,exact beach name match; Milos match; beach/coast/sea term present; license accepted for commercial app use; good image dimensions; preferred source: Wikimedia Commons,Παλαιοχώρι Milos,false
1744,Papafragkas,verified,verified,0.96,wikimedia_commons,CC BY-SA 4.0,Zde,"https://commons.wikimedia.org/wiki/File:From_the_Hellenistic_settlement_Fylakopi_to_Papafragas_beach,_Milos,_152878.jpg",https://upload.wikimedia.org/wikipedia/commons/9/93/From_the_Hellenistic_settlement_Fylakopi_to_Papafragas_beach%2C_Milos%2C_152878.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/From_the_Hellenistic_settlement_Fylakopi_to_Papafragas_beach%2C_Milos%2C_152878.jpg/960px-From_the_Hellenistic_settlement_Fylakopi_to_Papafragas_beach%2C_Milos%2C_152878.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,exact beach name match; Milos match; beach/coast/sea term present; license accepted for commercial app use; good image dimensions; preferred source: Wikimedia Commons,Papafragas Milos,false
1745,Papikinoy,verified,verified,0.96,wikimedia_commons,CC BY-SA 3.0,rene boulay,https://commons.wikimedia.org/wiki/File:Cyclades_Milos_Papikinou_Plage_Taverne_O%5E_Hamos_-_panoramio.jpg,https://upload.wikimedia.org/wikipedia/commons/5/52/Cyclades_Milos_Papikinou_Plage_Taverne_O%5E_Hamos_-_panoramio.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Cyclades_Milos_Papikinou_Plage_Taverne_O%5E_Hamos_-_panoramio.jpg/960px-Cyclades_Milos_Papikinou_Plage_Taverne_O%5E_Hamos_-_panoramio.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,exact beach name match; Milos match; beach/coast/sea term present; license accepted for commercial app use; good image dimensions; preferred source: Wikimedia Commons,Papikinou Milos,false
1746,Paralia Aggathia,missing,missing,0,local_placeholder,unknown,,,,,Milos match; beach/coast/sea term present; license accepted for commercial app use; good image dimensions; capped: metadata suggests private people may be the main subject; capped: no exact beach name match,Παραλία Αγγαθια Milos,true
1747,Plathiena,missing,missing,0,local_placeholder,unknown,,,,,Milos match; beach/coast/sea term present; license accepted for commercial app use; good image dimensions; capped: metadata suggests private people may be the main subject; capped: no exact beach name match,Πλάθιενα Milos,true
1748,Provatas,verified,verified,0.96,wikimedia_commons,CC BY-SA 3.0,rene boulay,https://commons.wikimedia.org/wiki/File:Cyclades_Milos_Provatas_Plage_-_panoramio.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9e/Cyclades_Milos_Provatas_Plage_-_panoramio.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Cyclades_Milos_Provatas_Plage_-_panoramio.jpg/960px-Cyclades_Milos_Provatas_Plage_-_panoramio.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,exact beach name match; Milos match; beach/coast/sea term present; license accepted for commercial app use; good image dimensions; preferred source: Wikimedia Commons,Προβατάς Milos,false
1759,Psarovolada,missing,missing,0,local_placeholder,unknown,,,,,Milos match; license accepted for commercial app use; good image dimensions; capped: file title describes non-beach context; capped: no exact beach name and no beach/coast/sea term; capped: no exact beach name match; capped: stock photo lacks exact beach name and beach title context,Ψαροβολάδα Milos,true
1758,Psathi,missing,missing,0,local_placeholder,unknown,,,,,Milos match; license accepted for commercial app use; good image dimensions; capped: file title describes non-beach context; capped: no exact beach name and no beach/coast/sea term; capped: no exact beach name match; capped: stock photo lacks exact beach name and beach title context,Ψαθί Milos,true
1749,Rivari,candidate,candidate,0.69,wikimedia_commons,CC BY-SA 4.0,Zde,"https://commons.wikimedia.org/wiki/File:View_from_Nychia_hill_towards_Early_Cycladic_site_Rivari,_Milos,_153222.jpg",https://upload.wikimedia.org/wikipedia/commons/0/09/View_from_Nychia_hill_towards_Early_Cycladic_site_Rivari%2C_Milos%2C_153222.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/View_from_Nychia_hill_towards_Early_Cycladic_site_Rivari%2C_Milos%2C_153222.jpg/960px-View_from_Nychia_hill_towards_Early_Cycladic_site_Rivari%2C_Milos%2C_153222.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,exact beach name match; Milos match; beach/coast/sea term present; license accepted for commercial app use; good image dimensions; preferred source: Wikimedia Commons; capped: file title describes non-beach context,Rivari Milos,true
1750,Sarakiniko,verified,verified,0.96,wikimedia_commons,CC BY-SA 4.0,Zde,"https://commons.wikimedia.org/wiki/File:Sarakiniko_beach,_Milos,_15M6407.jpg",https://upload.wikimedia.org/wikipedia/commons/e/ef/Sarakiniko_beach%2C_Milos%2C_15M6407.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Sarakiniko_beach%2C_Milos%2C_15M6407.jpg/960px-Sarakiniko_beach%2C_Milos%2C_15M6407.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,exact beach name match; Milos match; beach/coast/sea term present; license accepted for commercial app use; good image dimensions; preferred source: Wikimedia Commons,Σαρακήνικο Milos,false
1734,Theiafes,verified,verified,0.96,wikimedia_commons,CC BY-SA 4.0,Zde,"https://commons.wikimedia.org/wiki/File:Thiafes_bay,_abandoned_sulfur_mines,_Milos,_15M5969.jpg",https://upload.wikimedia.org/wikipedia/commons/c/c2/Thiafes_bay%2C_abandoned_sulfur_mines%2C_Milos%2C_15M5969.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Thiafes_bay%2C_abandoned_sulfur_mines%2C_Milos%2C_15M5969.jpg/960px-Thiafes_bay%2C_abandoned_sulfur_mines%2C_Milos%2C_15M5969.jpg,exact beach name match; Milos match; beach/coast/sea term present; license accepted for commercial app use; good image dimensions; preferred source: Wikimedia Commons; specific beach alias match,Thiafes Milos,false
1751,Tourkothalassa,missing,missing,0,local_placeholder,unknown,,,,,Milos match; beach/coast/sea term present; license accepted for commercial app use; good image dimensions; capped: metadata suggests private people may be the main subject; capped: no exact beach name match,Τουρκοθάλασσα Milos,true
1752,Triades,missing,missing,0,local_placeholder,unknown,,,,,Milos match; beach/coast/sea term present; license accepted for commercial app use; good image dimensions; capped: metadata suggests private people may be the main subject; capped: no exact beach name match,Τριάδες Milos,true
1753,Tsigkrado,verified,verified,0.96,wikimedia_commons,CC BY 2.0,dronepicr,"https://commons.wikimedia.org/wiki/File:Rocks_at_Tsigrado_Beach_on_Milos_Island,_Greece.jpg",https://upload.wikimedia.org/wikipedia/commons/a/a8/Rocks_at_Tsigrado_Beach_on_Milos_Island%2C_Greece.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Rocks_at_Tsigrado_Beach_on_Milos_Island%2C_Greece.jpg/960px-Rocks_at_Tsigrado_Beach_on_Milos_Island%2C_Greece.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,exact beach name match; Milos match; beach/coast/sea term present; license accepted for commercial app use; good image dimensions; preferred source: Wikimedia Commons,Tsigrado Milos,false
