beachName,beachNameEl,imageStatus,confidence,source,license,needsHumanReview,fileTitle,sourcePageUrl,imageUrl,author,searchQueryUsed,matchReason
Lagada,Λαγκάδα,missing,0,local_placeholder,unknown,true,,,,,Lagada Milos,exact beach name match; Milos match; license accepted for commercial app use; good image dimensions; preferred source: Wikimedia Commons; capped: non-beach context without beach/coast/sea term
Naytikos Omilos Milou,Ναυτικός Όμιλος Μήλου,missing,0,local_placeholder,unknown,true,,,,,Ναυτικός Όμιλος Μήλου Milos,No compatible beach-specific image candidate reached confidence threshold.
Nerodafni,Νεροδάφνη,missing,0,local_placeholder,unknown,true,,,,,Νεροδάφνη Milos,No compatible beach-specific image candidate reached confidence threshold.
Paleochori,Παλαιοχώρι,verified,0.96,wikimedia_commons,CC BY-SA 4.0,false,"Paleochori, Milos, 152796.jpg","https://commons.wikimedia.org/wiki/File:Paleochori,_Milos,_152796.jpg",https://upload.wikimedia.org/wikipedia/commons/2/2c/Paleochori%2C_Milos%2C_152796.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Zde,Paleochori Milos,exact beach name match; Milos match; beach/coast/sea term present; license accepted for commercial app use; good image dimensions; preferred source: Wikimedia Commons
Papafragas,Παπάφραγκας,verified,0.96,wikimedia_commons,CC BY-SA 4.0,false,"From the Hellenistic settlement Fylakopi to Papafragas beach, Milos, 152878.jpg","https://commons.wikimedia.org/wiki/File:From_the_Hellenistic_settlement_Fylakopi_to_Papafragas_beach,_Milos,_152878.jpg",https://upload.wikimedia.org/wikipedia/commons/9/93/From_the_Hellenistic_settlement_Fylakopi_to_Papafragas_beach%2C_Milos%2C_152878.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Zde,Papafragas Milos,exact beach name match; Milos match; beach/coast/sea term present; license accepted for commercial app use; good image dimensions; preferred source: Wikimedia Commons
Papikinou,Παπικινού,verified,0.96,wikimedia_commons,CC BY-SA 3.0,false,Cyclades Milos Papikinou Plage Taverne O^ Hamos - panoramio.jpg,https://commons.wikimedia.org/wiki/File:Cyclades_Milos_Papikinou_Plage_Taverne_O%5E_Hamos_-_panoramio.jpg,https://upload.wikimedia.org/wikipedia/commons/5/52/Cyclades_Milos_Papikinou_Plage_Taverne_O%5E_Hamos_-_panoramio.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,rene boulay,Papikinou Milos,exact beach name match; Milos match; beach/coast/sea term present; license accepted for commercial app use; good image dimensions; preferred source: Wikimedia Commons
Paralia Aggathia,Παραλία Αγγαθια,missing,0,local_placeholder,unknown,true,,,,,Παραλία Αγγαθια Milos,No compatible beach-specific image candidate reached confidence threshold.
Plathiena,Πλάθιενα,missing,0,local_placeholder,unknown,true,,,,,Πλάθιενα Milos,No compatible beach-specific image candidate reached confidence threshold.
Provatas,Προβατάς,verified,0.96,wikimedia_commons,CC BY-SA 3.0,false,Cyclades Milos Provatas Plage - panoramio.jpg,https://commons.wikimedia.org/wiki/File:Cyclades_Milos_Provatas_Plage_-_panoramio.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9e/Cyclades_Milos_Provatas_Plage_-_panoramio.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,rene boulay,Προβατάς Milos,exact beach name match; Milos match; beach/coast/sea term present; license accepted for commercial app use; good image dimensions; preferred source: Wikimedia Commons
Psarovolada,Ψαροβολάδα,missing,0,local_placeholder,unknown,true,,,,,Ψαροβολάδα Milos,No compatible beach-specific image candidate reached confidence threshold.
Psathi,Ψαθί,missing,0,local_placeholder,unknown,true,,,,,Ψαθί Milos,No compatible beach-specific image candidate reached confidence threshold.
Rivari,Ριβάρι,verified,0.96,wikimedia_commons,CC BY-SA 4.0,false,"View from Nychia hill towards Early Cycladic site Rivari, Milos, 153222.jpg","https://commons.wikimedia.org/wiki/File:View_from_Nychia_hill_towards_Early_Cycladic_site_Rivari,_Milos,_153222.jpg",https://upload.wikimedia.org/wikipedia/commons/0/09/View_from_Nychia_hill_towards_Early_Cycladic_site_Rivari%2C_Milos%2C_153222.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Zde,Rivari Milos,exact beach name match; Milos match; beach/coast/sea term present; license accepted for commercial app use; good image dimensions; preferred source: Wikimedia Commons
Sarakiniko,Σαρακήνικο,verified,0.96,wikimedia_commons,CC BY-SA 4.0,false,"Sarakiniko beach, Milos, 15M6407.jpg","https://commons.wikimedia.org/wiki/File:Sarakiniko_beach,_Milos,_15M6407.jpg",https://upload.wikimedia.org/wikipedia/commons/e/ef/Sarakiniko_beach%2C_Milos%2C_15M6407.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Zde,Σαρακήνικο Milos,exact beach name match; Milos match; beach/coast/sea term present; license accepted for commercial app use; good image dimensions; preferred source: Wikimedia Commons
Thiafes,Θειάφες,verified,0.96,wikimedia_commons,CC BY-SA 4.0,false,"Thiafes bay, abandoned sulfur mines, Milos, 15M5969.jpg","https://commons.wikimedia.org/wiki/File:Thiafes_bay,_abandoned_sulfur_mines,_Milos,_15M5969.jpg",https://upload.wikimedia.org/wikipedia/commons/c/c2/Thiafes_bay%2C_abandoned_sulfur_mines%2C_Milos%2C_15M5969.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Zde,Thiafes Milos,exact beach name match; Milos match; beach/coast/sea term present; license accepted for commercial app use; good image dimensions; preferred source: Wikimedia Commons
Tourkothalassa,Τουρκοθάλασσα,missing,0,local_placeholder,unknown,true,,,,,Τουρκοθάλασσα Milos,No compatible beach-specific image candidate reached confidence threshold.
Triades,Τριάδες,missing,0,local_placeholder,unknown,true,,,,,Τριάδες Milos,No compatible beach-specific image candidate reached confidence threshold.
Tsigrado,Τσιγκράδο,verified,0.96,wikimedia_commons,CC BY 2.0,false,"Rocks at Tsigrado Beach on Milos Island, Greece.jpg","https://commons.wikimedia.org/wiki/File:Rocks_at_Tsigrado_Beach_on_Milos_Island,_Greece.jpg",https://upload.wikimedia.org/wikipedia/commons/a/a8/Rocks_at_Tsigrado_Beach_on_Milos_Island%2C_Greece.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,dronepicr,Tsigrado Milos,exact beach name match; Milos match; beach/coast/sea term present; license accepted for commercial app use; good image dimensions; preferred source: Wikimedia Commons
