Χώρα,Κλικ,Εμφανίσεις,CTR,Θέση
Γεωργία,0,173,0%,8.24
Ταϊλάνδη,0,142,0%,16.81
Ρωσία,0,136,0%,14.41
Νότια Κορέα,0,129,0%,10.84
Ιαπωνία,0,114,0%,8.91
Αλγερία,0,88,0%,9.92
Πακιστάν,0,78,0%,13.05
Τυνησία,0,69,0%,8.36
Κολομβία,0,65,0%,17.78
Αζερμπαϊτζάν,0,64,0%,7.31
Νιγηρία,0,57,0%,10.49
Άγνωστη Περιοχή,0,53,0%,7.92
Αρμενία,0,50,0%,7.18
Χιλή,0,45,0%,12.24
Ιράκ,0,41,0%,11.71
Περού,0,34,0%,10.41
Καζακστάν,0,29,0%,13.21
Νεπάλ,0,28,0%,9.07
Κουβέιτ,0,26,0%,7.12
Σρι Λάνκα,0,26,0%,9
Ισημερινός,0,25,0%,12.48
Ιράν,0,23,0%,10.35
Ουζμπεκιστάν,0,22,0%,8
Άιλ οφ Μαν,0,21,0%,8.33
Δομινικανή Δημοκρατία,0,20,0%,23.35
Σαν Μαρίνο,0,18,0%,7.39
Γκέρνσι,0,17,0%,7.53
Κόστα Ρίκα,0,17,0%,7.65
Πουέρτο Ρίκο,0,17,0%,11.94
Ακτή Ελεφαντοστού,0,17,0%,17.06
Μονακό,0,16,0%,6.81
Μπαχρέιν,0,15,0%,9.2
Γκάνα,0,14,0%,8.36
Κονγκό - Κινσάσα,0,14,0%,8.71
Ουγκάντα,0,13,0%,8.38
Βενεζουέλα,0,12,0%,10.25
Τανζανία,0,11,0%,7.82
Λιβύη,0,11,0%,9.27
Παραγουάη,0,11,0%,16.91
Αιθιοπία,0,11,0%,18.09
Μιανμάρ (Βιρμανία),0,10,0%,3.4
Μαυρίκιος,0,10,0%,7.5
Ζιμπάμπουε,0,8,0%,6.62
Νήσοι Φερόες,0,8,0%,7.75
Μαλδίβες,0,8,0%,11.38
Ανδόρρα,0,7,0%,4
Ομάν,0,7,0%,5.71
Πράσινο Ακρωτήριο,0,7,0%,7
Αγκόλα,0,7,0%,7.43
Τρινιδάδ και Τομπάγκο,0,7,0%,7.71
Καμπότζη,0,7,0%,16.71
Σενεγάλη,0,6,0%,5.5
Λιβερία,0,6,0%,6
Καμερούν,0,6,0%,7
Ρουάντα,0,6,0%,9.17
Ελ Σαλβαδόρ,0,6,0%,9.67
Τζαμάικα,0,6,0%,10.33
Βολιβία,0,6,0%,10.83
Αφγανιστάν,0,6,0%,12.5
Γροιλανδία,0,5,0%,4
Μπουρκίνα Φάσο,0,5,0%,6.6
Αϊτή,0,5,0%,8.6
Ονδούρα,0,5,0%,12.8
Τουρκμενιστάν,0,4,0%,7.25
Ρεϊνιόν,0,4,0%,7.5
Ζάμπια,0,4,0%,7.75
Κονγκό - Μπραζαβίλ,0,4,0%,8.25
Παναμάς,0,4,0%,10.5
Σουδάν,0,4,0%,10.5
Λάος,0,4,0%,16.75
Μπενίν,0,3,0%,4
Μπρουνέι,0,3,0%,4
Κιργιστάν,0,3,0%,5
Μπαρμπάντος,0,3,0%,6
Σομαλία,0,3,0%,6
Σουαζιλάνδη,0,3,0%,6.33
Νήσοι Άλαντ,0,3,0%,6.67
Γαλλική Γουιάνα,0,3,0%,7
Γουαδελούπη,0,3,0%,7.33
Μογγολία,0,3,0%,8
Νικαράγουα,0,3,0%,8
Κούβα,0,3,0%,8.67
Τσαντ,0,3,0%,8.67
Σεϋχέλλες,0,3,0%,9
Γιβραλτάρ,0,2,0%,2.5
Γουινέα,0,2,0%,4
Συρία,0,2,0%,4.5
Αρούμπα,0,2,0%,5
Νήσοι Κέιμαν,0,2,0%,5.5
Άγ. Μαρτίνος,0,2,0%,6.5
Μαλάουι,0,2,0%,6.5
Ναμίμπια,0,2,0%,8.5
Νότιο Σουδάν,0,2,0%,8.5
Γκουάμ,0,2,0%,9
Μοζαμβίκη,0,2,0%,9
Μάλι,0,2,0%,9.5
Τόγκο,0,2,0%,15
Υεμένη,0,2,0%,17
Μπουτάν,0,2,0%,23.5
Μαυριτανία,0,1,0%,1
Γρενάδα,0,1,0%,2
Γκαμπόν,0,1,0%,3
Γκάμπια,0,1,0%,3
Φίτζι,0,1,0%,4
Μαγιότε,0,1,0%,4
Βανουάτου,0,1,0%,4
Τατζικιστάν,0,1,0%,5
Ντζιμπουτί,0,1,0%,6
Σάο Τομέ και Πρίνσιπε,0,1,0%,6
Άγιος Βικέντιος και Γρεναδίνες,0,1,0%,6
Μποτσουάνα,0,1,0%,7
Μαρτινίκα,0,1,0%,7
Νέα Καληδονία,0,1,0%,7
Νιούε,0,1,0%,7
Άγιος Μαρτίνος,0,1,0%,8
Κιριμπάτι,0,1,0%,9
Τιμόρ Λέστε,0,1,0%,9
Κουρασάο,0,1,0%,10
Δυτική Σαχάρα,0,1,0%,10
Σουρινάμ,0,1,0%,11
