Δημοφιλέστερες σελίδες,Κλικ,Εμφανίσεις,CTR,Θέση
https://calmbeach.gr/el/sunset-beaches/thasos/,34,472,7.2%,6.74
https://calmbeach.gr/snorkeling-beaches/rhodes/,33,2953,1.12%,9.86
https://calmbeach.gr/snorkeling-beaches/naxos/,33,1317,2.51%,8.4
https://calmbeach.gr/snorkeling-beaches/preveza/,33,482,6.85%,7.6
https://calmbeach.gr/el/sheltered-beaches/skopelos/,33,467,7.07%,6.98
https://calmbeach.gr/organized-beaches/sifnos/,32,738,4.34%,10.29
https://calmbeach.gr/secluded-beaches/evia/,30,723,4.15%,7.27
https://calmbeach.gr/el/sunset-beaches/lemnos/,30,704,4.26%,8.62
https://calmbeach.gr/beaches/santorini/2061-kamari/,30,699,4.29%,7.69
https://calmbeach.gr/el/,30,208,14.42%,4.05
https://calmbeach.gr/el/beaches/evia/235-korasida/,29,644,4.5%,7.76
https://calmbeach.gr/el/beaches-near-me/,29,640,4.53%,7.49
https://calmbeach.gr/snorkeling-beaches/chios/,29,555,5.23%,6.96
https://calmbeach.gr/secluded-beaches/andros/,29,457,6.35%,8.78
https://calmbeach.gr/snorkeling-beaches/kalymnos/,29,276,10.51%,4.97
https://calmbeach.gr/beaches/kavala/787-vrasidas/,28,2556,1.1%,8.46
https://calmbeach.gr/secluded-beaches/halkidiki/,28,573,4.89%,7.83
https://calmbeach.gr/snorkeling-beaches/heraklion/,28,568,4.93%,7.73
https://calmbeach.gr/el/sheltered-beaches/kimolos/,28,272,10.29%,5.97
https://calmbeach.gr/it/organized-beaches/milos/,27,671,4.02%,11.19
https://calmbeach.gr/beaches/preveza/870-monolithi/,27,537,5.03%,8.05
https://calmbeach.gr/sunset-beaches/skopelos/,27,515,5.24%,7.14
https://calmbeach.gr/el/sunset-beaches/serifos/,27,439,6.15%,7.77
https://calmbeach.gr/el/secluded-beaches/zakynthos/,27,352,7.67%,9.06
https://calmbeach.gr/el/beaches/viotia/374-laimos/,27,301,8.97%,4.39
https://calmbeach.gr/snorkeling-beaches/corfu/,26,1564,1.66%,10.2
https://calmbeach.gr/el/beaches/evia/226-kakolimano/,26,1343,1.94%,7.3
https://calmbeach.gr/family-beaches/lefkada/,26,1053,2.47%,7.87
https://calmbeach.gr/el/organized-beaches/skyros/,26,628,4.14%,10.31
https://calmbeach.gr/snorkeling-beaches/ithaca/,26,333,7.81%,7
https://calmbeach.gr/el/family-beaches/pieria/,26,276,9.42%,6.1
https://calmbeach.gr/de/sheltered-beaches/naxos/,26,268,9.7%,6
https://calmbeach.gr/fr/sheltered-beaches/naxos/,25,603,4.15%,8.24
https://calmbeach.gr/snorkeling-beaches/skopelos/,25,492,5.08%,7.52
https://calmbeach.gr/el/sheltered-beaches/sifnos/,25,269,9.29%,5.4
https://calmbeach.gr/family-beaches/preveza/,24,2083,1.15%,9.12
https://calmbeach.gr/beaches/rethymno/704-preveli/,24,794,3.02%,8.56
https://calmbeach.gr/el/secluded-beaches/kea/,24,620,3.87%,8.26
https://calmbeach.gr/el/organized-beaches/kimolos/,24,549,4.37%,7.57
https://calmbeach.gr/secluded-beaches/karpathos/,24,396,6.06%,7.15
https://calmbeach.gr/el/sheltered-beaches/preveza/,24,309,7.77%,6.82
https://calmbeach.gr/sheltered-beaches/serifos/,23,672,3.42%,5.12
https://calmbeach.gr/sunset-beaches/tinos/,23,523,4.4%,6.69
https://calmbeach.gr/el/sunset-beaches/kythira/,23,501,4.59%,8.09
https://calmbeach.gr/snorkeling-beaches/karpathos/,23,415,5.54%,6.91
https://calmbeach.gr/it/secluded-beaches/lefkada/,23,356,6.46%,7.43
https://calmbeach.gr/it/sheltered-beaches/sifnos/,23,175,13.14%,4.08
https://calmbeach.gr/el/beaches/pieria/507-panteleimonas/,23,122,18.85%,7.75
https://calmbeach.gr/family-beaches/evia/,22,1188,1.85%,6.98
https://calmbeach.gr/el/family-beaches/corfu/,22,1109,1.98%,7.87
https://calmbeach.gr/it/sheltered-beaches/paros/,22,909,2.42%,6.53
https://calmbeach.gr/beaches/tinos/,22,809,2.72%,6.66
https://calmbeach.gr/el/organized-beaches/skiathos/,22,441,4.99%,7.37
https://calmbeach.gr/it/sheltered-beaches/ios/,22,342,6.43%,6.75
https://calmbeach.gr/el/sheltered-beaches/naxos/,22,271,8.12%,4.75
https://calmbeach.gr/it/snorkeling-beaches/corfu/,22,195,11.28%,5.86
https://calmbeach.gr/snorkeling-beaches/tinos/,22,194,11.34%,4.56
https://calmbeach.gr/el/beaches/ileia/2579-falari/,22,116,18.97%,3.91
https://calmbeach.gr/el/beaches/east-attica/34-paralia-zoumperi/,21,1016,2.07%,7.34
https://calmbeach.gr/family-beaches/rethymno/,21,552,3.8%,7.76
https://calmbeach.gr/el/organized-beaches/tinos/,21,533,3.94%,11.63
https://calmbeach.gr/it/sheltered-beaches/naxos/,21,454,4.63%,6.48
https://calmbeach.gr/de/beaches/rethymno/704-preveli/,21,311,6.75%,9.38
https://calmbeach.gr/beaches/milos/1927-fyriplaka/,20,3016,0.66%,8.2
https://calmbeach.gr/el/beaches/telendos/,20,992,2.02%,9.15
https://calmbeach.gr/it/sunset-beaches/kefalonia/,20,941,2.13%,7.85
https://calmbeach.gr/el/family-beaches/rethymno/,20,700,2.86%,7.78
https://calmbeach.gr/sunset-beaches/chios/,20,451,4.43%,6.49
https://calmbeach.gr/beaches/naxos/,20,397,5.04%,8.22
https://calmbeach.gr/el/beaches/evia/3062-almyrichi/,20,389,5.14%,5.48
https://calmbeach.gr/el/sheltered-beaches/lakonia/,20,342,5.85%,8.46
https://calmbeach.gr/sheltered-beaches/amorgos/,20,300,6.67%,4.97
https://calmbeach.gr/sunset-beaches/serifos/,20,280,7.14%,7.51
https://calmbeach.gr/el/beaches/kythira/126-paralia-lygia/,20,120,16.67%,3.94
https://calmbeach.gr/snorkeling-beaches/kythira/,20,116,17.24%,5.42
https://calmbeach.gr/el/sheltered-beaches/agistri/,20,48,41.67%,9.65
https://calmbeach.gr/sheltered-beaches/naxos/,19,1709,1.11%,6.97
https://calmbeach.gr/beaches/lemnos/1449-keros/,19,907,2.09%,8.36
https://calmbeach.gr/el/beaches/thesprotia/918-paralia-navtilos/,19,726,2.62%,7.57
https://calmbeach.gr/el/sheltered-beaches/kefalonia/,19,581,3.27%,8.01
https://calmbeach.gr/beaches/karpathos/2275-apella/,19,280,6.79%,6.82
https://calmbeach.gr/beaches/kavala/786-ammolofi/,19,125,15.2%,6.16
https://calmbeach.gr/family-beaches/athens-area/,18,2005,0.9%,8.76
https://calmbeach.gr/family-beaches/lemnos/,18,1267,1.42%,7.92
https://calmbeach.gr/beaches/heraklion/646-malia/,18,620,2.9%,7.76
https://calmbeach.gr/el/organized-beaches/rethymno/,18,494,3.64%,8.06
https://calmbeach.gr/family-beaches/kythira/,18,445,4.04%,8.21
https://calmbeach.gr/secluded-beaches/samos/,18,381,4.72%,7.92
https://calmbeach.gr/beaches/andros/,18,371,4.85%,6.27
https://calmbeach.gr/it/organized-beaches/naxos/,18,341,5.28%,11.55
https://calmbeach.gr/el/sheltered-beaches/samos/,18,328,5.49%,6.77
https://calmbeach.gr/el/sunset-beaches/amorgos/,18,199,9.05%,8.17
https://calmbeach.gr/snorkeling-beaches/agistri/,18,161,11.18%,5.14
https://calmbeach.gr/el/beaches/lefkada/1160-kathisma/,18,147,12.24%,6.89
https://calmbeach.gr/el/beaches/lakonia/1549-anepisimi-gymnistiki-paralia/,18,65,27.69%,7.23
https://calmbeach.gr/it/beaches/lefkada/1147-avali/,17,2047,0.83%,6.91
https://calmbeach.gr/sunset-beaches/rhodes/,17,827,2.06%,13.15
https://calmbeach.gr/sheltered-beaches/andros/,17,715,2.38%,5.43
https://calmbeach.gr/organized-beaches/aegina/,17,509,3.34%,9.84
https://calmbeach.gr/el/organized-beaches/andros/,17,469,3.62%,10.77
https://calmbeach.gr/el/sheltered-beaches/patmos/,17,340,5%,8.48
https://calmbeach.gr/it/family-beaches/lefkada/,17,306,5.56%,7.65
https://calmbeach.gr/snorkeling-beaches/andros/,17,285,5.96%,6.87
https://calmbeach.gr/el/secluded-beaches/kefalonia/,17,230,7.39%,7.97
https://calmbeach.gr/el/sunset-beaches/skiathos/,17,200,8.5%,8.2
https://calmbeach.gr/el/beaches/lesvos/1348-niselia/,17,121,14.05%,5.12
https://calmbeach.gr/de/secluded-beaches/lefkada/,17,110,15.45%,7.24
https://calmbeach.gr/el/beaches/heraklion/634-karteros/,17,61,27.87%,6.1
https://calmbeach.gr/el/beaches/halkidiki/462-paralia-stratoni/,17,48,35.42%,8.98
https://calmbeach.gr/el/beaches/lesvos/1376-charamida/,16,1355,1.18%,9.19
https://calmbeach.gr/beaches/chania/596-falasarna/,16,951,1.68%,7.8
https://calmbeach.gr/sheltered-beaches/milos/,16,718,2.23%,6.64
https://calmbeach.gr/snorkeling-beaches/lefkada/,16,654,2.45%,10.5
https://calmbeach.gr/secluded-beaches/corfu/,16,650,2.46%,9.92
https://calmbeach.gr/beaches/lemnos/,16,630,2.54%,6.63
https://calmbeach.gr/el/sheltered-beaches/salamina/,16,513,3.12%,10.13
https://calmbeach.gr/snorkeling-beaches/chania/,16,472,3.39%,8.38
https://calmbeach.gr/el/beaches/athens-area/23-limanakia-vouliagmenis-gymniston/,16,309,5.18%,7.48
https://calmbeach.gr/it/secluded-beaches/corfu/,16,307,5.21%,9.04
https://calmbeach.gr/de/secluded-beaches/zakynthos/,16,266,6.02%,5.46
https://calmbeach.gr/best-beaches-milos-today/,16,234,6.84%,7.63
https://calmbeach.gr/beaches/astypalaia/2240-magazaki/,16,180,8.89%,6.02
https://calmbeach.gr/organized-beaches/amorgos/,16,128,12.5%,9.65
https://calmbeach.gr/beaches/paros/2051-santa-maria/,15,1010,1.49%,8.24
https://calmbeach.gr/beaches/karpathos/2314-paralia-diakoftis/,15,977,1.54%,8.88
https://calmbeach.gr/el/beaches/evia/291-porto-pevko/,15,900,1.67%,6.52
https://calmbeach.gr/family-beaches/kavala/,15,886,1.69%,10.27
https://calmbeach.gr/el/family-beaches/chios/,15,542,2.77%,9.76
https://calmbeach.gr/el/sheltered-beaches/pieria/,15,506,2.96%,7.04
https://calmbeach.gr/el/beaches/lemnos/1456-neftina/,15,443,3.39%,8.46
https://calmbeach.gr/el/organized-beaches/thasos/,15,432,3.47%,7.8
https://calmbeach.gr/el/organized-beaches/evia/,15,420,3.57%,8.36
https://calmbeach.gr/el/secluded-beaches/tinos/,15,388,3.87%,13.69
https://calmbeach.gr/el/beaches/evia/280-paralia-tsirmokokkala/,15,226,6.64%,4.11
https://calmbeach.gr/de/snorkeling-beaches/zakynthos/,15,210,7.14%,5.38
https://calmbeach.gr/el/sheltered-beaches/ios/,15,143,10.49%,4.7
https://calmbeach.gr/snorkeling-beaches/kea/,15,122,12.3%,5.33
https://calmbeach.gr/el/beaches/kalymnos/2257-tichi/,15,79,18.99%,6.22
https://calmbeach.gr/family-beaches/aegina/,14,1188,1.18%,8.44
https://calmbeach.gr/family-beaches/lesvos/,14,680,2.06%,8.78
https://calmbeach.gr/beaches/rethymno/678-damnoni/,14,625,2.24%,7.99
https://calmbeach.gr/el/beaches/magnesia-pelion/2701-nea-agchialos/,14,554,2.53%,7.76
https://calmbeach.gr/it/sheltered-beaches/santorini/,14,512,2.73%,5.81
https://calmbeach.gr/it/organized-beaches/lefkada/,14,509,2.75%,10.01
https://calmbeach.gr/beaches/halkidiki/404-kalamitsi/,14,468,2.99%,7.68
https://calmbeach.gr/it/organized-beaches/paros/,14,468,2.99%,9.4
https://calmbeach.gr/sheltered-beaches/santorini/,14,423,3.31%,6.18
https://calmbeach.gr/sheltered-beaches/ios/,14,401,3.49%,5.26
https://calmbeach.gr/it/beaches/rhodes/2457-prasonisi/,14,391,3.58%,10.23
https://calmbeach.gr/organized-beaches/kythnos/,14,373,3.75%,7.21
https://calmbeach.gr/sunset-beaches/kythnos/,14,288,4.86%,7.06
https://calmbeach.gr/el/sunset-beaches/skopelos/,14,284,4.93%,9.39
https://calmbeach.gr/el/organized-beaches/ithaca/,14,265,5.28%,10.97
https://calmbeach.gr/el/beaches/paros/2024-aspros-gremos/,14,252,5.56%,3.77
https://calmbeach.gr/el/sheltered-beaches/kalymnos/,14,225,6.22%,7.57
https://calmbeach.gr/snorkeling-beaches/paxos/,14,217,6.45%,7.65
https://calmbeach.gr/el/beaches/kefalonia/1085-agia-sotira/,14,189,7.41%,4.96
https://calmbeach.gr/el/secluded-beaches/astypalaia/,14,160,8.75%,8.66
https://calmbeach.gr/el/beaches/salamina/163-mikro-lamprano/,14,147,9.52%,5.79
https://calmbeach.gr/snorkeling-beaches/ikaria/,14,132,10.61%,8.49
https://calmbeach.gr/el/beaches/magnesia-pelion/2723-ftelia/,14,125,11.2%,5.54
https://calmbeach.gr/el/secluded-beaches/chania/,14,71,19.72%,7.52
https://calmbeach.gr/beach-guides/,13,928,1.4%,5.01
https://calmbeach.gr/beaches/samos/1413-potami/,13,750,1.73%,9.31
https://calmbeach.gr/it/beaches/kefalonia/1068-fteri/,13,703,1.85%,8.8
https://calmbeach.gr/el/beaches/preveza/887-kerentza/,13,646,2.01%,8.14
https://calmbeach.gr/el/beaches/messinia/1626-mati/,13,640,2.03%,7.09
https://calmbeach.gr/sheltered-beaches/kavala/,13,637,2.04%,9.36
https://calmbeach.gr/el/beaches/viotia/376-paralia-livadostras/,13,535,2.43%,9.81
https://calmbeach.gr/el/organized-beaches/paros/,13,519,2.5%,9.25
https://calmbeach.gr/el/organized-beaches/poros/,13,485,2.68%,12.33
https://calmbeach.gr/it/organized-beaches/kefalonia/,13,474,2.74%,11.3
https://calmbeach.gr/beaches/milos/1911-kampanes/,13,457,2.84%,4.59
https://calmbeach.gr/beaches/milos/1919-plathiena/,13,379,3.43%,7.7
https://calmbeach.gr/el/sunset-beaches/syros/,13,354,3.67%,8.68
https://calmbeach.gr/sheltered-beaches/samos/,13,300,4.33%,6.36
https://calmbeach.gr/el/sunset-beaches/preveza/,13,293,4.44%,11.56
https://calmbeach.gr/el/organized-beaches/korinthia/,13,253,5.14%,9.41
https://calmbeach.gr/it/secluded-beaches/kefalonia/,13,186,6.99%,6.75
https://calmbeach.gr/it/snorkeling-beaches/lefkada/,13,164,7.93%,10.74
https://calmbeach.gr/el/family-beaches/milos/,13,117,11.11%,8.21
https://calmbeach.gr/el/beaches/lesvos/1354-paralia-gymniston-eresou/,13,104,12.5%,5.78
https://calmbeach.gr/fr/snorkeling-beaches/chania/,13,94,13.83%,7.54
https://calmbeach.gr/fr/organized-beaches/milos/,13,90,14.44%,7.7
https://calmbeach.gr/snorkeling-beaches/messinia/,13,88,14.77%,5.91
https://calmbeach.gr/beaches/lasithi/752-mazida-ammos/,12,725,1.66%,7.88
https://calmbeach.gr/beaches/skiathos/2629-lalaria/,12,577,2.08%,7.36
https://calmbeach.gr/el/beach-bars/aegina/,12,522,2.3%,9.11
https://calmbeach.gr/sandy-beaches/evia/,12,477,2.52%,7.06
https://calmbeach.gr/el/family-beaches/skopelos/,12,373,3.22%,9.68
https://calmbeach.gr/it/sheltered-beaches/mykonos/,12,363,3.31%,8.4
https://calmbeach.gr/el/beaches/kefalonia/1078-xi/,12,327,3.67%,9.46
https://calmbeach.gr/el/secluded-beaches/skiathos/,12,311,3.86%,10.89
https://calmbeach.gr/el/organized-beaches/skopelos/,12,305,3.93%,8.54
https://calmbeach.gr/sheltered-beaches/kimolos/,12,253,4.74%,5.57
https://calmbeach.gr/el/sheltered-beaches/lesvos/,12,243,4.94%,7.06
https://calmbeach.gr/sheltered-beaches/skopelos/,12,239,5.02%,7.33
https://calmbeach.gr/de/beaches/heraklion/646-malia/,12,238,5.04%,9.34
https://calmbeach.gr/beaches/lefkada/,12,237,5.06%,7.27
https://calmbeach.gr/family-beaches/skiathos/,12,208,5.77%,7.73
https://calmbeach.gr/el/family-beaches/skyros/,12,183,6.56%,8.62
https://calmbeach.gr/el/organized-beaches/spetses/,12,143,8.39%,9.52
https://calmbeach.gr/de/snorkeling-beaches/rethymno/,12,139,8.63%,6.53
https://calmbeach.gr/el/beaches/chania/578-sougia-gymniston/,12,120,10%,7.88
https://calmbeach.gr/el/sheltered-beaches/tinos/,12,102,11.76%,4.57
https://calmbeach.gr/el/beaches/evia/228-kalamitsi/,12,76,15.79%,6.21
https://calmbeach.gr/beaches/larissa-coast-agia-kissavos/2731-paralia-papakosta/,12,51,23.53%,5.59
https://calmbeach.gr/beaches/sifnos/,12,23,52.17%,8.7
https://calmbeach.gr/sheltered-beaches/mykonos/,11,1317,0.84%,6.91
https://calmbeach.gr/el/beaches/west-attica/191-prosili/,11,1299,0.85%,8.84
https://calmbeach.gr/sheltered-beaches/paros/,11,1103,1%,7.64
https://calmbeach.gr/beaches/paros/2039-monastiri/,11,651,1.69%,7.87
https://calmbeach.gr/family-beaches/chios/,11,646,1.7%,7.72
https://calmbeach.gr/el/beaches/halkidiki/501-paralia-aretes/,11,489,2.25%,8.21
https://calmbeach.gr/sunset-beaches/karpathos/,11,468,2.35%,10.13
https://calmbeach.gr/el/organized-beaches/karpathos/,11,280,3.93%,9.05
https://calmbeach.gr/el/beaches/magnesia-pelion/2696-melani/,11,275,4%,7.52
https://calmbeach.gr/it/organized-beaches/ios/,11,261,4.21%,10.3
https://calmbeach.gr/el/beaches/corfu/946-maltas-beach/,11,208,5.29%,5.27
https://calmbeach.gr/el/organized-beaches/kalymnos/,11,207,5.31%,9.86
https://calmbeach.gr/el/organized-beaches/hydra/,11,195,5.64%,10.38
https://calmbeach.gr/el/beaches/fthiotida/3169-liasiki/,11,187,5.88%,5.99
https://calmbeach.gr/el/sheltered-beaches/rethymno/,11,163,6.75%,6.23
https://calmbeach.gr/el/sheltered-beaches/achaia/,11,141,7.8%,6.39
https://calmbeach.gr/el/secluded-beaches/karpathos/,11,141,7.8%,10.87
https://calmbeach.gr/el/family-beaches/samos/,11,114,9.65%,6.56
https://calmbeach.gr/fr/snorkeling-beaches/kefalonia/,11,100,11%,7.83
https://calmbeach.gr/el/beaches/astypalaia/2241-mamounia/,11,99,11.11%,4.4
https://calmbeach.gr/snorkeling-beaches/korinthia/,11,84,13.1%,5.87
https://calmbeach.gr/fr/snorkeling-beaches/milos/,11,56,19.64%,5.66
https://calmbeach.gr/sunset-beaches/lefkada/,10,865,1.16%,8.06
https://calmbeach.gr/sunset-beaches/thasos/,10,571,1.75%,8.01
https://calmbeach.gr/snorkeling-beaches/skiathos/,10,542,1.85%,8.9
https://calmbeach.gr/el/beaches/east-attica/3006-porto-rafti-avlaki/,10,457,2.19%,8.93
https://calmbeach.gr/sheltered-beaches/chios/,10,409,2.44%,6.77
https://calmbeach.gr/el/beaches/rethymno/678-damnoni/,10,406,2.46%,8.17
https://calmbeach.gr/el/beaches/athens-area/15-mikro-kavouri/,10,394,2.54%,6.61
https://calmbeach.gr/snorkeling-beaches/mykonos/,10,374,2.67%,13.56
https://calmbeach.gr/el/organized-beaches/fokida/,10,358,2.79%,10.4
https://calmbeach.gr/el/organized-beaches/kea/,10,349,2.87%,8.78
https://calmbeach.gr/it/sunset-beaches/paros/,10,339,2.95%,7.78
https://calmbeach.gr/secluded-beaches/kalymnos/,10,328,3.05%,9.38
https://calmbeach.gr/sunset-beaches/andros/,10,326,3.07%,6.67
https://calmbeach.gr/beaches/lefkada/1171-porto-katsiki/,10,296,3.38%,6.91
https://calmbeach.gr/de/snorkeling-beaches/corfu/,10,287,3.48%,8.01
https://calmbeach.gr/el/beaches/achaia/2510-paralia-gianiskari/,10,265,3.77%,7.38
https://calmbeach.gr/el/beaches/aetolia-acarnania/2526-agrilia/,10,224,4.46%,7.22
https://calmbeach.gr/beach-bars/preveza/,10,223,4.48%,7.56
https://calmbeach.gr/el/sunset-beaches/ithaca/,10,198,5.05%,9.65
https://calmbeach.gr/el/sunset-beaches/kythnos/,10,188,5.32%,8.25
https://calmbeach.gr/beaches/lesvos/1348-niselia/,10,183,5.46%,6.34
https://calmbeach.gr/el/sunset-beaches/evia/,10,167,5.99%,7.33
https://calmbeach.gr/el/sheltered-beaches/halkidiki/,10,156,6.41%,5.29
https://calmbeach.gr/el/sheltered-beaches/ikaria/,10,153,6.54%,7.35
https://calmbeach.gr/organized-beaches/kimolos/,10,148,6.76%,7.57
https://calmbeach.gr/el/sheltered-beaches/syros/,10,139,7.19%,4.68
https://calmbeach.gr/el/sheltered-beaches/chios/,10,130,7.69%,4.74
https://calmbeach.gr/de/organized-beaches/lefkada/,10,130,7.69%,18.71
https://calmbeach.gr/el/sheltered-beaches/lasithi/,10,127,7.87%,6.88
https://calmbeach.gr/el/beaches/fthiotida/3063-faprikezaina/,10,45,22.22%,3.02
https://calmbeach.gr/beaches/lefkada/1140-desimi/,9,2411,0.37%,8.87
https://calmbeach.gr/el/beaches/salamina/3055-dimitrani/,9,943,0.95%,8.3
https://calmbeach.gr/beach-bars/kavala/,9,759,1.19%,8.77
https://calmbeach.gr/it/beaches/zakynthos/1193-porto-limnionas/,9,742,1.21%,10.81
https://calmbeach.gr/beaches/mykonos/1964-ornos/,9,611,1.47%,8.46
https://calmbeach.gr/sunset-beaches/athens-area/,9,563,1.6%,7.33
https://calmbeach.gr/sandy-beaches/preveza/,9,544,1.65%,8.56
https://calmbeach.gr/beaches/kefalonia/3105-skala-kefalonia/,9,513,1.75%,7.54
https://calmbeach.gr/el/beaches/kythnos/1897-flampouria/,9,500,1.8%,8.27
https://calmbeach.gr/snorkeling-beaches/zakynthos/,9,447,2.01%,12.35
https://calmbeach.gr/sheltered-beaches/kythnos/,9,433,2.08%,4.94
https://calmbeach.gr/snorkeling-beaches/thasos/,9,408,2.21%,8.5
https://calmbeach.gr/el/sandy-beaches/thasos/,9,382,2.36%,8.75
https://calmbeach.gr/snorkeling-beaches/paros/,9,382,2.36%,15.15
https://calmbeach.gr/el/beaches/halkidiki/412-komitsa/,9,360,2.5%,9.18
https://calmbeach.gr/organized-beaches/zakynthos/,9,348,2.59%,9.39
https://calmbeach.gr/el/organized-beaches/argolida/,9,343,2.62%,11.99
https://calmbeach.gr/beaches/evia/248-limnionaki/,9,318,2.83%,6.51
https://calmbeach.gr/secluded-beaches/chania/,9,286,3.15%,8.58
https://calmbeach.gr/el/sandy-beaches/chios/,9,284,3.17%,9.19
https://calmbeach.gr/el/family-beaches/thasos/,9,255,3.53%,8.39
https://calmbeach.gr/el/organized-beaches/lemnos/,9,252,3.57%,11.52
https://calmbeach.gr/sheltered-beaches/antiparos/,9,250,3.6%,6.67
https://calmbeach.gr/fr/beaches/sifnos/,9,247,3.64%,8.87
https://calmbeach.gr/el/family-beaches/argolida/,9,238,3.78%,11.54
https://calmbeach.gr/sunset-beaches/samos/,9,220,4.09%,6.9
https://calmbeach.gr/it/beaches/lasithi/733-voulisma/,9,215,4.19%,5.58
https://calmbeach.gr/beaches/halkidiki/3125-paralia-neos-marmaras/,9,209,4.31%,8.79
https://calmbeach.gr/beaches/chania/539-marathi/,9,199,4.52%,6.66
https://calmbeach.gr/sheltered-beaches/astypalaia/,9,196,4.59%,6.91
https://calmbeach.gr/el/beaches/kythira/136-paralia-kaladi/,9,183,4.92%,6.19
https://calmbeach.gr/el/beaches/fokida/351-paralia-asteri/,9,149,6.04%,2.98
https://calmbeach.gr/organized-beaches/kythira/,9,147,6.12%,8.87
https://calmbeach.gr/el/beaches/evia/217-giannitsi/,9,145,6.21%,6.67
https://calmbeach.gr/el/beaches/telendos/2496-paralia-potha/,9,143,6.29%,4.52
https://calmbeach.gr/el/sunset-beaches/chios/,9,105,8.57%,7.06
https://calmbeach.gr/it/beaches/lasithi/730-vai/,9,94,9.57%,5.94
https://calmbeach.gr/el/beaches/amorgos/1667-finikies/,9,92,9.78%,7.43
https://calmbeach.gr/de/snorkeling-beaches/naxos/,9,89,10.11%,6.53
https://calmbeach.gr/el/beaches/kastellorizo/2319-plakes/,9,80,11.25%,7.76
https://calmbeach.gr/el/sunset-beaches/samos/,9,71,12.68%,5.86
https://calmbeach.gr/beaches/heraklion/635-agia-pelagia/,9,59,15.25%,5.78
https://calmbeach.gr/el/beaches/lesvos/1366-tilegrafos/,9,55,16.36%,3.67
https://calmbeach.gr/el/beaches/magnesia-pelion/3151-kamari-keramidiou/,9,52,17.31%,13.69
