Δημοφιλέστερα ερωτήματα,Κλικ,Εμφανίσεις,CTR,Θέση
corfu snorkeling map,2,57,3.51%,6.93
μαρκεσι,2,57,3.51%,7.07
κυθνοσ παραλιεσ οργανωμενεσ,2,57,3.51%,14.11
παραλία πόρτο πεύκο,2,56,3.57%,6.7
kardaki beach,2,56,3.57%,8.04
παραλια ιμερου,2,54,3.7%,8.41
spiaggia avali lefkada,2,49,4.08%,4.98
παραλια κεραμε ικαρια,2,49,4.08%,8.27
φαρα λεσβου,2,49,4.08%,11.88
alonissos snorkeling,2,48,4.17%,6.54
μονη αιγινα ξαπλωστρεσ,2,47,4.26%,9.04
αίγινα παραλίεσ,2,47,4.26%,9.43
plaka beach samos,2,45,4.44%,6.11
παραλια μαραθωνα,2,45,4.44%,9.87
si,2,41,4.88%,3.51
παραλια λιβαδι ικαρια,2,40,5%,7.3
vent milos,2,40,5%,8.82
hidden beaches zakynthos,2,39,5.13%,8.54
paralia sidari,2,38,5.26%,5.05
παραλια αρετεσ χαλκιδικη,2,36,5.56%,9.58
waves greece,2,35,5.71%,6.23
παραλια πυργοσ χαλκιδικη,2,34,5.88%,6.53
myrtos beach waves,2,32,6.25%,8.25
καιροσ θαψα ευβοιασ,2,31,6.45%,8.55
παραλιεσ λευκαδασ οργανωμενεσ,2,31,6.45%,8.61
παραλια κεφαλα ευβοια,2,29,6.9%,8.31
σκοπελοσ παραλιεσ οργανωμενεσ,2,29,6.9%,12.17
που δεν εχει κυμα σημερα,2,28,7.14%,7.32
απανεμεσ παραλιεσ σεριφοσ,2,27,7.41%,5.11
alykes kitrous,2,27,7.41%,9.67
snorkeling in halkidiki,2,26,7.69%,6.12
secret beaches zakynthos,2,24,8.33%,6.46
plage santa maria paros,2,24,8.33%,7.29
paralia richti,2,24,8.33%,7.88
αμουα κασοσ,2,24,8.33%,8.67
τα καλυτερα beach bar λευκαδα,2,24,8.33%,10.12
ερημικεσ παραλιεσ ευβοια,2,23,8.7%,3.78
παραλια καστρι ευβοια,2,23,8.7%,5.74
χιοσ παραλιεσ οργανωμενεσ,2,23,8.7%,9.78
quiet beaches near me,2,23,8.7%,12.22
tilos beaches,2,23,8.7%,13.3
μαραθιασ χαλκιδικη,2,22,9.09%,3.91
καλαμιτσι ευβοια,2,22,9.09%,5.77
καθισμα λευκαδα ξαπλωστρεσ τιμεσ,2,22,9.09%,11.77
sifnos beaches with sunbeds,2,21,9.52%,6.05
lefkada strände mit liegen,2,21,9.52%,7.9
παραλια σωτηρασ κεφαλονια,2,19,10.53%,4.53
beach today,2,19,10.53%,5.32
zakynthos hidden beaches,2,19,10.53%,8.47
paralia lares karpathos,2,18,11.11%,4.11
kokkini beach evia,2,18,11.11%,7.44
παραλιεσ ευβοιασ για παιδια,2,17,11.76%,3.65
μαγαζακι παραλια αστυπαλαια,2,17,11.76%,9.59
beach bars kavala,2,16,12.5%,5.81
παραλιεσ πιεριασ για παιδια,2,16,12.5%,8.25
andros snorkeling,2,16,12.5%,8.44
paros snorkeling,2,16,12.5%,15.5
webcam kathisma beach,2,14,14.29%,4.64
myrtos beach today,2,14,14.29%,5.64
ηλιοβασιλεμα σκυροσ,2,13,15.38%,4.15
θαψα ευβοια καιροσ,2,13,15.38%,9.38
σεριφοσ απανεμεσ παραλιεσ,2,12,16.67%,6.58
hidden beaches halkidiki,2,12,16.67%,7
waves lefkada,2,12,16.67%,9
antiparos beaches,2,12,16.67%,30.25
paralia zepkou,2,11,18.18%,4.27
κυθνοσ απανεμεσ παραλιεσ,2,11,18.18%,6.82
snorkling naxos,2,11,18.18%,8.91
kathisma beach waves today,2,10,20%,4.6
παραλια πυργακι παροσ,2,10,20%,5.3
paxos snorkelling,2,10,20%,8.4
spiagge attrezzate ios,2,10,20%,8.4
snorkeling lemnos,2,9,22.22%,1.33
παραλια ακταιου ευβοια,2,9,22.22%,2.89
ανδροσ απανεμεσ παραλιεσ,2,9,22.22%,4.78
παραλια αλυκη κυθνοσ,2,9,22.22%,5.33
waves near me,2,9,22.22%,6.56
παραλια τσαμπια τηνοσ,2,8,25%,3.12
απανεμες παραλιες ανδρος,2,8,25%,4
μαρκεσι παραλια σκυροσ,2,8,25%,4.38
rhodes best snorkeling spots,2,8,25%,7.12
αγριλια παραλια,2,8,25%,10.62
kalamokanias beach,2,7,28.57%,6.14
καιρος θαψα ευβοιας,2,7,28.57%,9.57
kalamitsi live camera,2,6,33.33%,6.17
kakolimano beach evia,2,6,33.33%,9.17
καθισμα λευκαδα ξαπλωστρεσ,2,6,33.33%,9.17
κυθνοσ παραλιεσ χωρισ αερα,2,5,40%,3.4
neos marmaras webcam,2,5,40%,7
best snorkeling near me,2,5,40%,7.2
beach calm,2,4,50%,1.25
απανεμεσ παραλιεσ ναξοσ,2,4,50%,2.75
shallow beaches near me,2,4,50%,5.75
meteo issos corfu,2,4,50%,9.5
παραλια λιβαδι ευβοια,2,3,66.67%,2.67
preveli live camera,2,3,66.67%,4
evet,2,3,66.67%,7
παραλια στενο ανδροσ,2,3,66.67%,20.33
calmbeach.gr,2,2,100%,1
flags on the beach today,2,2,100%,1
παραλία χαραμίδα αξιολογήσεις,2,2,100%,5
petani beach kefalonia waves,2,2,100%,8.5
kathisma beach,1,2075,0.05%,9.59
καιρός δημήτρανι,1,541,0.18%,8.25
mandraki beach skiathos,1,495,0.2%,11.2
stelari beach,1,453,0.22%,9.95
dafni beach zakynthos,1,382,0.26%,10.02
χαραμιδα,1,353,0.28%,11.25
kathisma beach lefkada,1,334,0.3%,10.16
potami beach,1,329,0.3%,10.94
μελιδονι κυθηρα,1,276,0.36%,8.39
dafni beach,1,258,0.39%,11.1
patmos beaches,1,254,0.39%,9.74
evia beaches,1,240,0.42%,9.65
porto limnionas,1,240,0.42%,11.36
melidoni beach kythira,1,236,0.42%,9.4
παραλία διρού,1,210,0.48%,8.68
spetses beaches,1,208,0.48%,13.64
snorkeling rhodes,1,207,0.48%,10.3
calmo kea,1,206,0.49%,7.94
magic beach kos,1,189,0.53%,8.33
vrasidas beach kavala,1,188,0.53%,8.54
kalathas beach,1,182,0.55%,10.06
paxos beaches,1,181,0.55%,10.8
kalypso beach,1,171,0.58%,8.74
αγκαθωπεσ συροσ beach bar,1,165,0.61%,11.55
dianiskari beach,1,158,0.63%,6.96
salonikios beach,1,149,0.67%,10.4
chios beaches,1,146,0.68%,9.45
snorkeling paros,1,135,0.74%,26.77
παραλια σκαλα πρεβεζα,1,131,0.76%,9.48
plathiena beach milos,1,131,0.76%,9.86
malia beach,1,129,0.78%,13.29
νησιωτισσα ευβοια,1,125,0.8%,10.22
lipsi beaches,1,125,0.8%,11.32
lia beach,1,123,0.81%,9.7
limnos beaches,1,122,0.82%,9.6
monastiri beach paros,1,116,0.86%,8.93
diakoftis beach karpathos,1,111,0.9%,10.38
afteli beach,1,108,0.93%,9.59
avali lefkada,1,105,0.95%,8.38
παραλια λιβαδοστρασ,1,102,0.98%,12.1
mikros gialos lefkada,1,100,1%,10.94
moraitika beach,1,99,1.01%,7.8
κερκυρα παραλιεσ για παιδια,1,96,1.04%,7.04
mazida ammos,1,94,1.06%,8.48
παραλία χαραμίδα,1,91,1.1%,8.1
paralia beach corfu,1,88,1.14%,6.75
andros beaches,1,87,1.15%,10.77
kampanes,1,82,1.22%,6.09
παραλια κατσαδια λειψοι,1,82,1.22%,6.9
plathiena beach,1,81,1.23%,10.99
kampanes milos,1,80,1.25%,4.91
ζούμπερι παραλία,1,80,1.25%,8.91
korasida beach,1,80,1.25%,10.47
koumaria beach kefalonia,1,79,1.27%,6.37
προσήλι,1,79,1.27%,6.9
ampelaki beach,1,77,1.3%,6.44
beach bar κοντα μου,1,77,1.3%,7.13
boukari corfou,1,74,1.35%,11.18
samos beaches,1,74,1.35%,12.38
κακολίμανο εύβοια,1,73,1.37%,6.77
βαρδαρι παραλια,1,70,1.43%,6.79
παραλίες αίγινα,1,70,1.43%,10.44
naxos snorkeling,1,70,1.43%,10.61
beach bar rethymno,1,70,1.43%,11.87
αγκαθωπεσ ξαπλωστρεσ,1,68,1.47%,9.37
beach bar αιγινα,1,68,1.47%,10.88
καβαλα παραλιεσ,1,68,1.47%,13.53
αναφη παραλιεσ,1,68,1.47%,14.57
ja,1,67,1.49%,3.22
aspri limni,1,66,1.52%,8.36
ammoglossa beach lefkada,1,65,1.54%,6.38
παραλια λαγκαδα κωσ,1,65,1.54%,7.18
keros beach limnos,1,65,1.54%,10.2
snorkeling naxos,1,64,1.56%,11.03
sandy beach kefalonia,1,64,1.56%,12.53
mikro ammoudi beach,1,63,1.59%,7.7
porto pefko,1,62,1.61%,8.95
babylon beach greece,1,62,1.61%,8.98
agios sostis milos,1,60,1.67%,11.5
preveza greece beaches,1,59,1.69%,11.64
rhodes snorkeling map,1,57,1.75%,7.6
mouries halkidiki,1,57,1.75%,8.39
monolithi beach preveza,1,57,1.75%,15.47
κερεντζα,1,56,1.79%,7.77
πορτο λαφια παραλια,1,56,1.79%,10.02
anafi beaches,1,55,1.82%,10.36
καιρός παραλία ψάθα,1,55,1.82%,10.47
σκοπελοσ παραλιεσ για παιδια,1,55,1.82%,11.65
sonnenuntergang lefkada,1,55,1.82%,11.69
porto pefko beach evia,1,54,1.85%,6.63
gaidaros beach,1,54,1.85%,7.81
skyros beaches,1,52,1.92%,11.58
snorkelling evia,1,52,1.92%,20.29
kasos sandy,1,51,1.96%,4.65
best beaches in lesvos,1,49,2.04%,16.14
paralia edem beach,1,48,2.08%,7.94
καμερα χιλιαδου,1,48,2.08%,9.35
χαραμίδα,1,47,2.13%,10.43
best hidden beaches lefkada,1,47,2.13%,22.87
paralia edem,1,46,2.17%,9.15
μαγγαναρι beach bar,1,46,2.17%,9.33
ροδοσ παραλιεσ με αμμο,1,46,2.17%,10.98
plages naxos,1,46,2.17%,11.22
παραλια καριανησ,1,45,2.22%,8.58
παραλια αγια ειρηνη κυθνοσ,1,44,2.27%,6.82
gomati beach limnos,1,44,2.27%,8.57
snorkeling heraklion,1,44,2.27%,9.2
αγια ειρηνη κυθνοσ beach bar,1,44,2.27%,11.98
plage perissa santorin,1,43,2.33%,6.72
heraklion beaches,1,43,2.33%,8.14
rethymno snorkeling,1,43,2.33%,9.6
καρυστοσ παραλιεσ για παιδια,1,43,2.33%,10.88
καραβοστασι πλυτρα,1,43,2.33%,10.93
χιοσ παραλιεσ με αμμο,1,42,2.38%,9.67
olive beach πηλιο,1,42,2.38%,10.14
παραλια νεφτινα λημνοσ,1,41,2.44%,9.15
μελιδόνι κύθηρα,1,41,2.44%,9.22
zakynthos beaches,1,41,2.44%,15.83
παραλια κερεντζα πρεβεζα,1,39,2.56%,8.97
macherida beach,1,39,2.56%,9.1
plaja vrasidas,1,39,2.56%,9.33
παραλιες αιγινας,1,39,2.56%,9.9
παραλια ναυτιλοσ πλαταρια,1,39,2.56%,10.36
παραλια ματι,1,38,2.63%,7.45
δρενια beach bar,1,38,2.63%,7.92
nisaki beach,1,38,2.63%,8.76
αγαθονησι παραλιεσ,1,38,2.63%,9.45
kokkini beach,1,38,2.63%,9.79
best snorkeling lefkada,1,38,2.63%,20.08
gaidaros beach lefkada,1,37,2.7%,5.7
πορτο φινο σαλαμινα παραλια,1,37,2.7%,6.32
gradakia beach,1,37,2.7%,6.46
κατσουνι αναφη,1,37,2.7%,11.08
παραλια λαιμος χαλκιδικη,1,37,2.7%,11.73
flogita beach,1,37,2.7%,12.59
παραλια μαλτα κερκυρα,1,36,2.78%,3.72
παλιοσταφιδα κεφαλονια,1,36,2.78%,8.33
κρυφεσ παραλιεσ ζακυνθου,1,36,2.78%,8.61
sifnos strände,1,36,2.78%,13.44
tsamakia beach,1,35,2.86%,6.63
σκοτινα πιεριασ φωτογραφιεσ,1,35,2.86%,9.29
παραλία μνήματα,1,35,2.86%,9.83
πατμοσ παραλιεσ οργανωμενεσ,1,35,2.86%,11.77
marathias beach korfu,1,35,2.86%,11.94
bella vista beach chios,1,34,2.94%,5.71
paliostafida beach,1,34,2.94%,7.38
kathisma beach weather,1,34,2.94%,8.12
δυση ηλιου πρεβεζα,1,34,2.94%,9.18
αμοργοσ παραλιεσ οργανωμενεσ,1,34,2.94%,10.26
παραλια καλοπηγαδο αμμουλιανη,1,33,3.03%,6
παραλια καριανης,1,33,3.03%,8.45
ηλιοβασιλεμα κυθηρα,1,32,3.12%,6.41
cape vrasidas,1,32,3.12%,7.53
best beaches in rhodes for snorkeling,1,32,3.12%,9.03
snorkeling kefalonia,1,32,3.12%,10.16
avali beach bar lefkada,1,32,3.12%,10.25
livadi beach,1,32,3.12%,12.16
στενο αυλακι κυθηρα,1,31,3.23%,5.65
coucher de soleil heraklion,1,31,3.23%,7.61
παραλια κλιμα αιγινα beach bar,1,31,3.23%,9.81
charamida,1,31,3.23%,9.84
samothraki beaches,1,31,3.23%,12.42
αγια βασω πηλιο,1,30,3.33%,7.8
καιρος ζαριτσι,1,30,3.33%,8.5
mikro ammoudi,1,30,3.33%,8.67
vardia beach folegandros,1,30,3.33%,10.1
armyrichi beach evia,1,29,3.45%,5.55
mikri lakka samos,1,29,3.45%,8
κονδυλι beach bar,1,29,3.45%,8.9
παραλια μαγειρασ ευβοια καιροσ,1,29,3.45%,8.9
best beaches chios,1,29,3.45%,8.97
παραλιες κοντα μου,1,29,3.45%,8.97
milos spiagge attrezzate,1,29,3.45%,9
παραλια προσηλι,1,29,3.45%,10.1
φωκιδα παραλιεσ,1,29,3.45%,11.03
οργανωμενες παραλιες λευκαδα,1,28,3.57%,8.11
παραλια κακολιμανο ευβοια,1,28,3.57%,8.68
μαρκεσι σκυροσ,1,28,3.57%,8.86
κιμωλοσ οργανωμενεσ παραλιεσ,1,28,3.57%,9.07
aigina paralies,1,28,3.57%,10.21
achivadolimni beach,1,28,3.57%,10.96
κυθνοσ παραλιεσ beach bar,1,28,3.57%,11.25
astypalaia beaches,1,28,3.57%,11.32
παραλιεσ θεσπρωτιασ,1,28,3.57%,19.64
παραλια σωτηρα κεφαλονια,1,27,3.7%,3.89
rethymno beach flag today live,1,27,3.7%,6.63
samos snorkeling,1,27,3.7%,7.59
fotinari beach,1,27,3.7%,8.3
waves in greece,1,27,3.7%,9.19
kalamitsi beach halkidiki,1,27,3.7%,9.52
beach bars rethymno,1,27,3.7%,11.04
sandy beaches near me,1,27,3.7%,11.44
ανδροσ παραλιεσ οργανωμενεσ,1,27,3.7%,12.11
lagkadakia beach,1,26,3.85%,5.35
παραλια αγιοσ γεωργιοσ ρεθυμνο,1,26,3.85%,6.85
οργανωμενες παραλιες αιγινα,1,26,3.85%,7.73
lagoon beach,1,26,3.85%,8.42
κακη λαγκαδα παξοι beach bar,1,26,3.85%,9.08
καιροσ αυλακι πορτο ραφτη,1,26,3.85%,10.46
φιορδ κιμωλοσ,1,25,4%,5.52
παραλια γλυφα αλοννησοσ,1,25,4%,8.72
notos beach corfu,1,25,4%,8.84
παραλία προσήλι,1,25,4%,9.04
best snorkeling corfu,1,25,4%,9.16
kalami beach creta,1,25,4%,9.16
παραλια διρου,1,25,4%,10.08
sand beach rhodes,1,25,4%,11.8
ποροσ παραλιεσ,1,25,4%,24.16
gardeno beach,1,24,4.17%,5.96
ammoglossa,1,24,4.17%,6.96
sarantari,1,24,4.17%,8.46
best sunset in lefkada,1,24,4.17%,8.71
skafi beach tilos,1,24,4.17%,8.75
νηεσ παραλια,1,24,4.17%,9
triades milos,1,24,4.17%,9.5
παραλία φιλιατρό,1,24,4.17%,9.96
καιροσ κομιτσα χαλκιδικη,1,24,4.17%,10
да,1,23,4.35%,2.3
ηλιοβασιλεμα τηνος,1,23,4.35%,9.35
best snorkeling spots corfu,1,23,4.35%,10.61
best beaches in aegina,1,23,4.35%,21.52
οργανωμενεσ παραλιεσ αιγινα,1,22,4.55%,7.09
μουρος,1,22,4.55%,9.5
snorkeling skiathos,1,22,4.55%,9.77
παραλια πουρια σκυροσ,1,22,4.55%,9.91
κιρρα παραλια,1,22,4.55%,10.09
sithonia snorkeling beach,1,22,4.55%,10.68
antipaxos weather,1,22,4.55%,11
βαθυ λαγκαδι ζακυνθοσ,1,21,4.76%,4.1
vourderi beach zakynthos,1,21,4.76%,6.43
thapsa beach evia map,1,21,4.76%,6.95
παραλία λιβαδοστρατας φωτογραφίες,1,21,4.76%,7.05
λευκαδα παραλιεσ οργανωμενεσ,1,21,4.76%,9.38
snorkeling skopelos,1,21,4.76%,10.05
glyfa beach corfu,1,21,4.76%,10.43
οινούσσεσ παραλίεσ,1,21,4.76%,11.67
porto pefko evia,1,20,5%,5.85
best beaches near preveza greece,1,20,5%,10.1
αιγινα beach bar,1,20,5%,10.65
skiathos snorkeling,1,20,5%,13.2
καλαμι ευβοια,1,20,5%,16
kanali tou erota beach,1,19,5.26%,4.37
παραλια δερμαρια γλυφα,1,19,5.26%,5.32
kathisma waves,1,19,5.26%,5.58
παραλια σισια κεφαλονια,1,19,5.26%,5.63
παραλια βαρδαρι,1,19,5.26%,6.84
rethymno beach bars,1,19,5.26%,9.47
beach bar tinos,1,19,5.26%,10.63
snorkelling naxos,1,19,5.26%,11.58
corfu sandy beaches,1,19,5.26%,12.05
paleochori milos,1,19,5.26%,13.79
nerodafni beach milos,1,18,5.56%,5.83
kathisma beach waves,1,18,5.56%,6.72
παραλιεσ κερκυρα για παιδια,1,18,5.56%,9.56
παραλια εριστοσ τηλοσ,1,18,5.56%,9.94
sandy beaches kefalonia,1,18,5.56%,11.22
μονολιθι πρεβεζα live camera,1,18,5.56%,11.83
μικρο αλυκο ναξοσ,1,17,5.88%,6.35
οργανωμενες παραλιες χιος,1,17,5.88%,7.41
xanthi greece beach,1,17,5.88%,8.12
agios panteleimonas beach,1,17,5.88%,8.24
webcam keros beach,1,17,5.88%,8.47
καραβομυλοσ παραλια,1,17,5.88%,8.53
best beaches limnos,1,17,5.88%,9.41
ποροσ παραλιεσ με αμμο,1,17,5.88%,9.59
κακια λαγκαδα παξοι,1,17,5.88%,9.65
preveza beaches map,1,17,5.88%,11.88
γρεγολιμανο ευβοια,1,17,5.88%,12
πόρτο λαφια,1,17,5.88%,12.94
sandy beaches in rhodes,1,17,5.88%,14.82
giannitsi beach,1,16,6.25%,4.56
prasonisi (rethymno),1,16,6.25%,5.56
coucher de soleil sifnos,1,16,6.25%,5.62
πλαθιενα παραλια,1,16,6.25%,7.19
αμμος του μουλα,1,16,6.25%,7.38
κερκυρα παραλιες για παιδια,1,16,6.25%,7.94
waves skala kefalonia,1,16,6.25%,8.25
προσηλι καμερα,1,16,6.25%,8.44
παραλίεσ κοντά μου,1,16,6.25%,8.62
σε ποια παραλια δεν φυσαει σημερα,1,16,6.25%,9.75
kaminia beach cefalonia grecia,1,16,6.25%,9.81
παραλία χαραμίδα μυτιλήνη,1,16,6.25%,9.94
παραλιες ζακυνθος,1,16,6.25%,10.69
ηλιοβασιλεμα πρεβεζα,1,16,6.25%,11.31
polemi beach kos,1,16,6.25%,11.88
agia kiriaki beach,1,16,6.25%,14.38
υδρα παραλιες,1,16,6.25%,23.44
καιρός παραλία ξι,1,15,6.67%,4.27
pelekiti beach,1,15,6.67%,4.93
αλυκη κυθνοσ,1,15,6.67%,5.93
apella beach vento,1,15,6.67%,6.4
beach bar alonissos,1,15,6.67%,7.2
αγχιαλοσ παραλια,1,15,6.67%,7.73
paralia marathi,1,15,6.67%,7.87
naxos snorkelling,1,15,6.67%,7.93
οργανωμενεσ παραλιεσ κιμωλοσ,1,15,6.67%,9.07
lefkada spiagge attrezzate,1,15,6.67%,9.4
πισω λιμνιωνασ ανδροσ,1,15,6.67%,9.87
klimaki beach evia,1,14,7.14%,6.29
paralia gialiskari kefalonia,1,14,7.14%,6.29
kimilia beach cefalonia,1,14,7.14%,7.14
κορασιδα live camera,1,14,7.14%,8
παραλια αμμουδια πρεβεζα beach bar,1,14,7.14%,8.21
preveli webcam,1,14,7.14%,8.57
παραλια καλογρια,1,14,7.14%,9
hidden beaches lefkada,1,14,7.14%,9.57
snorkling skiathos,1,14,7.14%,9.86
sand beach zakynthos,1,14,7.14%,10.07
αγαθονησι παραλιες,1,14,7.14%,10.21
paou beach pelion,1,14,7.14%,10.64
wind marmari kos,1,14,7.14%,10.86
παραλιεσ σαμου με αμμο,1,14,7.14%,10.93
παραλιες με αμμο χιος,1,14,7.14%,11.07
aegina beaches near port,1,14,7.14%,11.57
πλακεσ αστυπαλαια,1,14,7.14%,13.07
lefkada,1,13,7.69%,1.31
beach warning flags today,1,13,7.69%,3.38
paralia palio beach,1,13,7.69%,3.69
