id	name	region	category	license	file
3107	Plaka (Samos)	Samos	Category:Beaches of Samos	CC BY-SA 3.0	Kerveli, Samos. - panoramio.jpg
3107	Plaka (Samos)	Samos	Category:Beaches of Samos	CC BY-SA 3.0	Kerveli. - panoramio - Bob&Anne Powell.jpg
3107	Plaka (Samos)	Samos	Category:Samos in the 2010s	CC BY-SA 4.0	Mitilini Samos 1.jpg
3107	Plaka (Samos)	Samos	Category:Samos in the 2010s	CC BY-SA 4.0	Skouraiika Samos.jpg
3037	Samos Vathy Maounes	Samos	Category:Beaches of Samos	CC BY-SA 3.0	- panoramio (5405).jpg
3037	Samos Vathy Maounes	Samos	Category:Beaches of Samos	CC BY-SA 4.0	2010-12-18 ΠΟΤΑΜΙ.jpg
3037	Samos Vathy Maounes	Samos	Category:Samos in the 2010s	CC BY-SA 3.0	Abandonded at Pyrgos. - panoramio.jpg
3037	Samos Vathy Maounes	Samos	Category:Samos in the 2000s	CC BY-SA 3.0	Agh. Konstantinos. - panoramio.jpg
3037	Samos Vathy Maounes	Samos	Category:Beaches of Samos	CC BY-SA 3.0	Bay of Balos. - panoramio.jpg
3037	Samos Vathy Maounes	Samos	Category:Beaches of Samos	CC BY-SA 4.0	Beachfront in Karlovasi, Samos.jpg
3037	Samos Vathy Maounes	Samos	Category:Beaches of Samos	CC BY-SA 3.0	Cliffs at Balos. - panoramio.jpg
3037	Samos Vathy Maounes	Samos	Category:Samos in the 2000s	CC BY-SA 3.0	I'll bet you recognise this if you know Samos. - panoramio.jpg
3037	Samos Vathy Maounes	Samos	Category:Beaches of Samos	CC BY 3.0	Ireo-Samos.JPG
3037	Samos Vathy Maounes	Samos	Category:Beaches of Samos	CC BY-SA 3.0	Kerveli, Samos. - panoramio.jpg
3037	Samos Vathy Maounes	Samos	Category:Beaches of Samos	CC BY-SA 3.0	Kerveli. - panoramio - Bob&Anne Powell.jpg
3037	Samos Vathy Maounes	Samos	Category:Samos in the 2010s	CC BY-SA 4.0	Mitilini Samos 1.jpg
3037	Samos Vathy Maounes	Samos	Category:Samos in the 2010s	CC BY-SA 4.0	Skouraiika Samos.jpg
833	Paralia Glyfada (Thasos)	Thasos	Category:Beaches of Thasos	CC BY-SA 3.0	02 Kallirachi-Skala (1956) C.jpg
833	Paralia Glyfada (Thasos)	Thasos	Category:Beaches of Thasos	CC BY-SA 4.0	Bech near Scala Rachoni, Thasos.jpg
833	Paralia Glyfada (Thasos)	Thasos	Category:Beaches of Thasos	CC BY-SA 2.0	Flickr - ronsaunders47 - A QUIET COVE IN THASSOS.GREECE. 1.jpg
833	Paralia Glyfada (Thasos)	Thasos	Category:Beaches of Thasos	CC BY-SA 2.0	Flickr - ronsaunders47 - FOOTPATH DOWN TO THE COVE.jpg
833	Paralia Glyfada (Thasos)	Thasos	Category:Beaches of Thasos	CC BY 3.0	Jez Bio nekad - panoramio.jpg
833	Paralia Glyfada (Thasos)	Thasos	Category:Beaches of Thasos	CC BY-SA 4.0	Karnagio Beach Thasos.jpg
833	Paralia Glyfada (Thasos)	Thasos	Category:Beaches of Thasos	CC BY-SA 4.0	Marble bay, Thasos.jpg
833	Paralia Glyfada (Thasos)	Thasos	Category:Beaches of Thasos	CC BY-SA 4.0	Olives trees at Scala Sotiros.jpg
