id,name,island,status,distM,stable,googleResult,googleType,placeId,query
181,Νήσιζα,Methana,WRONG_PLACE,13006,false,Μέθανα,,ChIJg8S21P9_nxQR_ARbQhGW_S8,"Νήσιζα, Methana"
182,Παραλία Περάματος,Piraeus area,WRONG_PLACE,7652,false,Παραλια,bus_stop,ChIJ1-3aAcG7oRQRuDEzGsDQGtM,"Παραλία Περάματος, Piraeus area"
183,Κράκαρης,Piraeus area,WRONG_TYPE,128,false,Είσοδος Κράκαρη - Πολυχώρος Λιπασμάτων,visitor_center,ChIJ8wBjibW7oRQRMY0hBos5hPw,"Κράκαρης, Piraeus area"
185,Πλαζ Καλαμπάκα,Piraeus area,WRONG_TYPE,89,false,Καλαμπακα,bus_stop,ChIJpawPGHy5oRQRqiFl6lCpoOc,"Πλαζ Καλαμπάκα, Piraeus area"
187,Ακρογιάλι,West Attica (mainland),WRONG_PLACE,7509,false,Το Ακρογιάλι,seafood_restaurant,ChIJ8TFFqkFLoBQRHzlizMdS2FE,"Ακρογιάλι, West Attica"
188,Παραλία Κινέτας,West Attica (mainland),WRONG_PLACE,2047,false,Παραλία Κινέτας,beach,ChIJtVS1UUJIoBQRynMIcOiScz8,"Παραλία Κινέτας, West Attica"
193,Αγία Ειρήνη Καρύστου,Evia,WRONG_PLACE,20121,false,Παραλία Αγία Ειρήνη,beach,ChIJO0GVfa3ToxQRIIlCG4_afzk,"Αγία Ειρήνη Καρύστου, Evia"
196,Άγιος Αθανάσιος,Evia,WRONG_PLACE,88020,false,Άγιος Αθανάσιος,,ChIJ281Kv-5HoRQRvwfK9qfDR_c,"Άγιος Αθανάσιος, Evia"
197,Άγιος Αντώνιος,Evia,WRONG_PLACE,57309,false,Ιερά Γυναικεία Κοινοβιακή Μονή Αγ. Αντωνίου Αχλαδερής Ευβοίας,place_of_worship,ChIJQ2s479fjoxQR818Rlj_UzUg,"Άγιος Αντώνιος, Evia"
198,Άγιος Βασίλειος,Evia,WRONG_PLACE,82714,false,Άγιος Βασίλειος,,ChIJYTND1cpboBQRADPDdC-9AAo,"Άγιος Βασίλειος, Evia"
199,Άγιος Δημήτριος,Evia,WRONG_PLACE,157379,false,Άγιος Δημήτριος,,ChIJxfhvGzDJoxQRLrfoRhpoJvk,"Άγιος Δημήτριος, Evia"
201,Άγιος Νικόλαος,Evia,WRONG_PLACE,50191,false,Άγιος Νικόλαος,,ChIJVVfxb8cWoRQR-1cg9hmun7U,"Άγιος Νικόλαος, Evia"
202,Αγκάλη,Evia,WRONG_PLACE,2018,false,Αγκάλη,,ChIJcwcKxubUphQRhjGvujf0iEc,"Αγκάλη, Evia"
203,Ακρωτήρι,Evia,WRONG_PLACE,2248,false,Ακρωτήρι,,ChIJA7gMBdc0ohQRHMbvGo65xGY,"Ακρωτήρι, Evia"
207,Αράλιμος,Evia,WRONG_TYPE,103,false,Ταβέρνα Ακρογιάλι,restaurant,ChIJ4ar5GINnoRQR-OJtzC5JTjA,"Αράλιμος, Evia"
211,Βαλοπούλα,Evia,WRONG_TYPE,37,false,Βαλοπούλα Δροσιάς,tourist_attraction,ChIJH93cE0cYoRQR-2H8ndhmHJE,"Βαλοπούλα, Evia"
220,Ελιά,Evia,WRONG_PLACE,5848,false,Elia Villas,lodging,ChIJU053m7zMoxQRhTbq1CISPFI,"Ελιά, Evia"
222,Ζέφυρος,Evia,WRONG_TYPE,111,false,Ζέφυρος - Cafe | Restaurant | Events,restaurant,ChIJJ3pBua09oRQRoDHYPdJWIFk,"Ζέφυρος, Evia"
224,Κάβος,Evia,WRONG_PLACE,169755,false,Κάβος,,ChIJzxBPYg2woBQRR5vQf5Rhi-o,"Κάβος, Evia"
228,Καλαμίτσι,Evia,WRONG_PLACE,40243,false,Παραλία Καλαμίτσι,natural_feature,ChIJlX4S3s0bohQRSk2NK68yoKA,"Καλαμίτσι, Evia"
230,Καναπίτσα,Evia,WRONG_TYPE,218,false,"Καναπίτσα, άρτος-γλυκό-καφές",bakery,ChIJ3VKHykoXoRQRrPEaFJ0UqTg,"Καναπίτσα, Evia"
232,Κεφάλα,Evia,WRONG_TYPE,173,false,Kefala Cape,lodging,ChIJF7Pcu54tohQRzXGOieUHxKk,"Κεφάλα, Evia"
239,Λάκα Σαραβάνου,Evia,WRONG_TYPE,15,false,Λάκα Σαραβάνου,natural_feature,ChIJvS8qSwczohQRzJzoQZd0Yw0,"Λάκα Σαραβάνου, Evia"
240,Λευκή Ακτή,Evia,WRONG_PLACE,22634,false,Γιαννίτσι (Λιμνιωνα) παραλία,beach,ChIJ8-JQkGXPoxQRQPbLYHMGE8A,"Λευκή Ακτή, Evia"
241,Λημνιώνας Μαρμαρίου,Evia,WRONG_PLACE,17054,false,Παραλία Λιμνιώνας,beach,ChIJYdxSCdPboxQRwOrzAx1WNd8,"Λημνιώνας Μαρμαρίου, Evia"
247,Λιμνιώνα,Evia,WRONG_PLACE,67637,false,Λιμνιώνας,,ChIJbV23Efs1oRQRNY-j1G7ShUE,"Λιμνιώνα, Evia"
257,Μικρή Κεφάλα,Evia,WRONG_TYPE,125,false,Kefala Cape,lodging,ChIJF7Pcu54tohQRzXGOieUHxKk,"Μικρή Κεφάλα, Evia"
258,Μνήματα,Evia,WRONG_TYPE,78,false,Παραλία Μνήματα,coffee_shop,ChIJ7bgMAMkzohQRkvpMYRMVN1s,"Μνήματα, Evia"
262,Παπαθανασίου,Evia,WRONG_TYPE,171,false,Παπαθανασίου,,ChIJXfVj3LsXoRQR2-fkX04dhRs,"Παπαθανασίου, Evia"
263,Παραλία Αγίου Νικολάου,Evia,WRONG_PLACE,30618,false,Παραλία Αγίου Νικολάου,,ChIJ7xoWDUjKoBQRto1-1J-LGOo,"Παραλία Αγίου Νικολάου, Evia"
270,Παραλία Εύα,Evia,WRONG_PLACE,3464,false,Palmariva Beach Hotel,hotel,ChIJae8_Uq0UoRQROX_ymnOw6SM,"Παραλία Εύα, Evia"
275,Παραλία Μουρτιάς,Evia,WRONG_PLACE,29209,false,Παραλία Μουρτιά,beach,ChIJDYh2vwofpxQRAuzLWHVe2NQ,"Παραλία Μουρτιάς, Evia"
277,Παραλία Πολιτικών,Evia,WRONG_PLACE,30101,false,Παραλία Πολιτικών,,ChIJwzHa_V0joRQRIEjDdC-9AAo,"Παραλία Πολιτικών, Evia"
279,Παραλία Σκιάθου,Evia,WRONG_PLACE,33539,false,Παραλία Κυμάσι,beach,ChIJc-ekdeQsoRQRnST6HZ286pU,"Παραλία Σκιάθου, Evia"
281,Παραλία Φάρου,Evia,WRONG_PLACE,6736,false,Παραλία,,ChIJMXjgGdIQoRQR9ocmKl53U0Y,"Παραλία Φάρου, Evia"
284,Πέλαγος,Evia,WRONG_PLACE,49228,false,HOTEL PELAGOS STUDIOS,hotel,ChIJb6HnK2tWoRQR3CnlFxawODw,"Πέλαγος, Evia"
285,Πέρα Κατσούλι,Evia,WRONG_PLACE,63821,false,Κατσούλη,,ChIJudo_l467oRQReP3dxiCpx6o,"Πέρα Κατσούλι, Evia"
287,Πηνελόπη,Evia,WRONG_TYPE,1266,false,Penelope villas,hotel,ChIJo5xpSiAzohQRh65VnB3Q6ZE,"Πηνελόπη, Evia"
288,Πίσω Συκιά,Evia,WRONG_PLACE,166643,false,Παραλία Συκιάς,beach,ChIJqyXD7y51oBQRcUfAQ7exSbs,"Παραλία Πίσω Συκιά, Evia"
296,Σαρακήνικο Βλαχιάς,Evia,WRONG_TYPE,302,false,Σαρακήνικο,,ChIJLxXHofY0oRQRBrCK0bT9Z50,"Σαρακήνικο Βλαχιάς, Evia"
298,Σγούρα,Evia,WRONG_PLACE,68132,false,Aphrodite Villas Evia Greece,lodging,ChIJfS__KnPZoxQRaGUQZwm5Pr0,"Παραλία Σγούρα, Evia"
300,Σούρζα Μπουτ,Evia,WRONG_PLACE,127846,false,Παραλία Πόρτο Πεύκο,tourist_attraction,ChIJFc9HOKK1oBQRGyMgetfnQZI,"Παραλία Σούρζα Μπουτ, Evia"
302,Σπίθα,Evia,WRONG_PLACE,103739,false,Παραλία Ψάθα,tourist_attraction,ChIJ0y-Zu1lRoBQRsHx1eS8BDKQ,"Παραλία Σπίθα, Evia"
303,Στενή,Evia,WRONG_PLACE,73012,false,Στενή Δίρφυος,,ChIJGR71nWlGoRQR6Y25Z0aeHWY,"Στενή, Evia"
305,Συκιές,Evia,WRONG_PLACE,47408,false,Συκιές,,ChIJuXc0jAbioxQRjCqwZfEGZ-o,"Συκιές, Evia"
341,Καλαφάτης,Fokida (mainland),WRONG_TYPE,93,false,KRISSAIA SEASIDE SUITES,lodging,ChIJ8WCkzjqdXxMRm_zL3NP9jCc,"Καλαφάτης, Fokida"
342,Καψάλες,Fokida (mainland),NO_RESULT,,false,,,,"Παραλία Καψάλες, Fokida"
343,Κεντρί,Fokida (mainland),WRONG_PLACE,6479,false,Yoga Instructor Ιτέα Φωκίδας- Βούλα Μαλαγράκη,yoga_studio,ChIJ0wX1vlN5XxMRC9rqjNnHaOw,"Κεντρί, Fokida"
347,Μονόλιθος,Fokida (mainland),WRONG_PLACE,560091,false,Κάστρο Μονολίθου,castle,ChIJT8XYAci6lRQRKuFlHnRsMxI,"Μονόλιθος, Fokida"
348,Παραλία Αγίου Ανδρέα,Fokida (mainland),WRONG_PLACE,105227,false,Παραλία Αγίου Ανδρέα,,ChIJE6uBDmndnxQRLx0_De8Zb38,"Παραλία Αγίου Ανδρέα, Fokida"
351,Παραλία Αστέρι,Fokida (mainland),UNSTABLE,4,false,"Παραλία αστέρι , asteri beach",beach,ChIJWaaYxkGdXxMR52iWzVGrF8o,"Παραλία Αστέρι, Fokida"
354,Σκούλες Μικρή και Μεγάλη,Fokida (mainland),NO_RESULT,,false,,,,"Παραλία Σκούλες Μικρή και Μεγάλη, Fokida"
3030,Δωρίδα Ερατεινή,Fokida (mainland),WRONG_TYPE,18,true,Ράμπα ΑΜΕΑ - Παραλία Ερατεινής Φωκίδα,transportation_service,ChIJ-x5pIwCjXxMRO3nFNQ7758E,"Παραλία Δωρίδα Ερατεινή, Fokida"
356,Αγιόνερο,Fthiotida (mainland),WRONG_PLACE,31750,false,Ασπρονέρι Αγίου Κωνσταντίνου,tourist_attraction,ChIJmVuDeRK7oBQRPz67WRne-Ic,"Αγιόνερο, Fthiotida"
357,Βίβος,Fthiotida (mainland),WRONG_PLACE,3688,false,Μικροβιβος,,ChIJFzYWSk_CoBQRZ57QiKEU_AU,"Βίβος, Fthiotida"
358,Κέδρος,Fthiotida (mainland),WRONG_TYPE,268,false,Καλύψω,,ChIJO7fgJIe4oBQRGPOPgshjxd4,"Κέδρος, Fthiotida"
359,Καραβόμυλος,Fthiotida (mainland),WRONG_TYPE,428,false,Καραβόμυλος,,ChIJTdW_3SipoBQRZHi5TuFkR0g,"Καραβόμυλος, Fthiotida"
360,Μεγάλη Σουβάλα,Fthiotida (mainland),WRONG_PLACE,116250,false,Souvala,ferry_terminal,ChIJCxbUPYXOoRQR3RoX9BUJwlY,"Μεγάλη Σουβάλα, Fthiotida"
361,Μικρή Σουβάλα,Fthiotida (mainland),WRONG_PLACE,41424,false,Στου Μπάρμπα Νίκου,barbecue_restaurant,ChIJAcsvsZxXXxMRBDxiHs2Z9ws,"Μικρή Σουβάλα, Fthiotida"
363,Παραλία Αγίου Νικολάου,Fthiotida (mainland),WRONG_PLACE,15784,false,Παραλία Αγίου Νικολάου,,ChIJ7xoWDUjKoBQRto1-1J-LGOo,"Παραλία Αγίου Νικολάου, Fthiotida"
366,Παραλία Καναπίτσα,Fthiotida (mainland),WRONG_PLACE,62188,false,Παραλία Καναπίτσα,beach,ChIJ_3WhsW7ephQR9hlUw1mb2F8,"Παραλία Καναπίτσα, Fthiotida"
369,Σχοινιά,Fthiotida (mainland),WRONG_PLACE,107151,false,Εθνικό Πάρκο Σχινιά Μαραθώνα,national_park,ChIJvfHwzEZ5oRQR2WaLrDxGT_g,"Σχοινιά, Fthiotida"
370,Φλοίσβος Πλαζ,Fthiotida (mainland),WRONG_PLACE,12577,false,FLISVOS HOTEL AND RESTAURANT - ΤΣΑΡΟΥΧΑΣ,greek_restaurant,ChIJE7DfHcPGoBQR_ThRUu1DblQ,"Φλοίσβος Πλαζ, Fthiotida"
372,Γυάλινη Άμμος,Viotia (mainland),WRONG_PLACE,92445,false,ΔΑΜΙΑΝΟΣ Μ.ΣΤΡΟΥΜΠΟΥΛΗΣ ΜΟΝ ΑΕ - ΧΑΛΑΖΙΑΚΗ ΑΜΜΟΣ,wholesaler,ChIJf72R1ey7oRQRDZaKCYQfQyU,"Γυάλινη Άμμος, Viotia"
375,Παραλία Κορομίλι,Viotia (mainland),WRONG_TYPE,114,false,Agrilia Koromili Retreat,hotel,ChIJx4D22wtcoBQRCGgtm652MUw,"Παραλία Κορομίλι, Viotia"
380,Agios Nikolaos,Halkidiki (mainland),WRONG_PLACE,37739,false,Άγιος Νικόλαος,,ChIJIeOy0diWqBQRsHgA5oK-U1U,"Agios Nikolaos, Halkidiki"
381,Παραλία Πευκοχωρίου,Halkidiki (mainland),WRONG_PLACE,14102,false,Παραλία Πευκοχώρι,beach,ChIJ__wUfX8mphQRGBjP15-ad38,"Παραλία Πευκοχωρίου, Halkidiki"
385,Biancoblusarti,Halkidiki (mainland),WRONG_TYPE,18,false,Biancoblusarti,bar,ChIJQUrjGBOvqBQRqgmndFTEolU,"Biancoblusarti, Halkidiki"
386,Blue Dream,Halkidiki (mainland),WRONG_PLACE,10544,false,Blue Dream Afytos,hotel,ChIJWcYqWQUrphQRVBngosHbPcU,"Blue Dream, Halkidiki"
389,Chrysi Ammoudia,Halkidiki (mainland),WRONG_PLACE,59139,false,Χρυσή Αμμουδιά,apartment_complex,ChIJT8Ma5fp7qBQRbjsLgEjTyJk,"Chrysi Ammoudia, Halkidiki"
391,Dimotiki Plaz 1,Halkidiki (mainland),WRONG_PLACE,22026,false,Παραλία Ολυμπιάδας,tourist_attraction,ChIJoVNJtz_eqBQRzzQSMwvRIAg,"Παραλία Dimotiki Plaz 1, Halkidiki"
392,Dimotiki Plaz 2,Halkidiki (mainland),WRONG_PLACE,17908,false,Άλσος Αριστοτέλη,amusement_center,ChIJhxV89JDnqBQRndw-3Ai25CI,"Dimotiki Plaz 2, Halkidiki"
393,Dimotiki Plaz 3,Halkidiki (mainland),WRONG_PLACE,9212,false,Παραλία Καμπούδι / Άκραθως,,ChIJZWbgWOjJqBQRGb-Bv9R5X4c,"Παραλία Dimotiki Plaz 3, Halkidiki"
396,Goa,Halkidiki (mainland),WRONG_TYPE,53,false,Goa Beach Bar,bar,ChIJPYW8SC-vqBQRokq57WLmCk8,"Goa, Halkidiki"
397,Golden,Halkidiki (mainland),WRONG_PLACE,3034,false,Golden Beach,beach,ChIJw7cirfMjphQRqYmuLwZ2CYY,"Golden, Halkidiki"
398,Griavas,Halkidiki (mainland),NO_RESULT,,false,,,,"Παραλία Griavas, Halkidiki"
400,Παραλία Γερακινής,Halkidiki (mainland),WRONG_TYPE,764,false,Παραλία Γερακινής,,ChIJGxg0UZCIqBQRk-QI7UcI4-Y,"Παραλία Γερακινής, Halkidiki"
401,Iliovasilema,Halkidiki (mainland),WRONG_PLACE,1680,false,Iris Sunset Apartments - Nea Potidea Halkidiki,hotel,ChIJq5_VDZZ7qBQRP6DzB636ClE,"Iliovasilema, Halkidiki"
408,Kavouri,Halkidiki (mainland),WRONG_TYPE,423,false,Kavouri 2 - Penelope’s House,lodging,ChIJO6k_61d_qBQR3lQtWTJ9euc,"Kavouri, Halkidiki"
410,Kefalas,Halkidiki (mainland),WRONG_PLACE,576963,false,Κεφαλάς,,ChIJ14lXkNF4mxQRa-4fwZGBun0,"Kefalas, Halkidiki"
411,Klimataria,Halkidiki (mainland),WRONG_TYPE,47,false,Klimataria Taverna,greek_restaurant,ChIJLyHBzhupqBQRIhDbYM0uviY,"Klimataria, Halkidiki"
412,Komitsa,Halkidiki (mainland),WRONG_TYPE,932,false,Κουμίτσα,,ChIJWWqHQDTPqBQR-AIZPyM-0mU,"Komitsa, Halkidiki"
414,Kryfos Paradeisos,Halkidiki (mainland),WRONG_PLACE,10696,false,Kelyfos Hotel,hotel,ChIJdftu2KGhqBQR5jB_yRNn8hI,"Kryfos Paradeisos, Halkidiki"
416,Lagoon,Halkidiki (mainland),WRONG_PLACE,7854,false,TUI SENSIMAR Blue Lagoon Palace,hotel,ChIJg3Ih_p6JqBQRiF10fX5HtKk,"Lagoon, Halkidiki"
419,Limanaki,Halkidiki (mainland),WRONG_TYPE,1008,false,ΤΟ ΛΙΜΑΝΑΚΙ,lodging,ChIJXXJkzJHHqBQRKrvK0pfPKMI,"Limanaki, Halkidiki"
420,Limani,Halkidiki (mainland),WRONG_PLACE,1696,false,Pension Limani,bed_and_breakfast,ChIJCbTCf7zHqBQRAGblZRrQhAk,"Limani, Halkidiki"
423,Livadi,Halkidiki (mainland),WRONG_PLACE,56163,false,Λιβάδι,,ChIJPzU9C5RcqBQREVXg2WfkI_k,"Livadi, Halkidiki"
427,Mileniko,Halkidiki (mainland),WRONG_TYPE,49,false,Mileniko Beach and Pool bar,bar_and_grill,ChIJYQAGvgJxqBQRT_EJERgDfi0,"Mileniko, Halkidiki"
438,Porfi,Halkidiki (mainland),WRONG_TYPE,85,false,Porfi Beach Hotel,resort_hotel,ChIJWaHEsZqQqBQRmXps3c_nZPs,"Porfi, Halkidiki"
444,Μικρή Παραλία,Halkidiki (mainland),WRONG_PLACE,11579,false,Siviri Beach,beach,ChIJteJL6kLTpxQRmkLEKXgktl0,"Μικρή Παραλία, Halkidiki"
447,Totos,Halkidiki (mainland),WRONG_TYPE,12,false,Totos Beach Bar,bar,ChIJxeTvcWbeqBQRk_zFzZUZwrI,"Totos, Halkidiki"
451,Tsifliki,Halkidiki (mainland),WRONG_PLACE,73270,false,Χατζή Μπαχτσέ,restaurant,ChIJhQT7YoM5qBQR_oe6-4VMsSg,"Tsifliki, Halkidiki"
453,Voreas Limani,Halkidiki (mainland),WRONG_TYPE,101,false,Βοριάς Λιμάνι,farm,ChIJ-b_K3hXfqBQR4aN6CFTkdgI,"Voreas Limani, Halkidiki"
