id,name,regionId,island,verdict,recommend,query,nameStatus,nameQuery,nameHit,nameDistM,nameScore,pinHit,pinDistM,flags,lat,lon
2017,Παραλία Ψιλή Άμμος,south-aegean-naxos,Naxos,PASS,none,"Παραλία Ψιλή Άμμος, Naxos",verified,"Παραλία Ψιλή Άμμος, Naxos",Παραλία Ψιλή Άμμος,9,35,Παραλία Ψιλή Άμμος,0,,37.01422,25.56847
2018,Παραλία Ψωφαγριλιά,south-aegean-naxos,Naxos,PASS,none,"Παραλία Ψωφαγριλιά, Naxos",verified,"Παραλία Ψωφαγριλιά, Naxos",Παραλία Ψωφαγριλιά,1,35,Παραλία Ψωφαγριλιά,1,,37.10381,25.59389
2019,Hawaii,south-aegean-naxos,Naxos,PASS,none,"Hawaii, Naxos",verified,"Hawaii, Naxos",Hawaii Beach,40,35,Hawaii Beach,0,,36.9805992,25.3863595
2020,Αγία Ειρήνη,south-aegean-paros,Paros,PASS,none,"Αγία Ειρήνη, Paros",verified,"Αγία Ειρήνη, Paros",Αγία Ειρήνη,15,35,Αγία Ειρήνη,0,,37.05565,25.10987
2023,Αμπελάς,south-aegean-paros,Paros,PASS,none,"Αμπελάς, Paros",verified,"Αμπελάς, Paros",Αμπελάς,10,35,Αμπελάς,0,,37.10207,25.26532
2024,Άσπρος Γκρεμός,south-aegean-paros,Paros,PASS,none,"Aspros Gremos beach, Paros",verified,"Aspros Gremos beach, Paros",Aspros Gremos beach,42,35,Aspros Gremos beach,1,,37.10869,25.27
2026,Γλυφάδες,south-aegean-paros,Paros,PASS,none,"Γλυφάδες, Paros",verified,"Γλυφάδες, Paros",Γλυφάδες,40,35,Γλυφάδες,1,,37.07321,25.25976
2027,Δελφίνι,south-aegean-paros,Paros,PASS,none,"Δελφίνι, Paros",verified,"Δελφίνι, Paros",Δελφίνι,11,35,Δελφίνι,0,,37.07539,25.13428
2028,Δρυός,south-aegean-paros,Paros,PASS,none,"Drios Beach, Paros",verified,"Drios Beach, Paros",Drios Beach,31,35,Drios Beach,0,,37.00223,25.22738
2029,Καλόγερος,south-aegean-paros,Paros,PASS,none,"Καλόγερος, Paros",verified,"Καλόγερος, Paros",Καλόγερος,21,35,Καλόγερος,0,,37.04714,25.26946
2031,Κριός,south-aegean-paros,Paros,REVIEW,coordinates,"unorganized beach, Paros",needs_review,"unorganized beach, Paros",unorganized beach,9,0,unorganized beach,1,weak_name_match,37.0946,25.13612
2032,Λάγγερη,south-aegean-paros,Paros,PASS,none,"Langeri Beach, Paros",verified,"Langeri Beach, Paros",Langeri Beach,1,35,Langeri Beach,1,,37.13616,25.27034
2034,Λίμνες,south-aegean-paros,Paros,PASS,none,"Λίμνες, Paros",verified,"Λίμνες, Paros",Limnes beach,0,35,Limnes beach,0,,37.12413,25.21341
2035,Λογαράς,south-aegean-paros,Paros,PASS,none,"Λογαράς, Paros",verified,"Λογαράς, Paros",Λογαράς,40,35,Λογαράς,1,,37.03187,25.25498
2036,Λωλαντώνης,south-aegean-paros,Paros,REVIEW,coordinates,"Παραλια Λωλαντώη, Paros",needs_review,"Παραλια Λωλαντώη, Paros",Παραλια Λωλαντώη,22,0,Παραλια Λωλαντώη,22,weak_name_match,36.99347,25.20993
2037,Μαρτσέλο,south-aegean-paros,Paros,PASS,none,"Μαρτσέλο, Paros",verified,"Μαρτσέλο, Paros",MARTSELO BEACH,85,35,MARTSELO BEACH,0,,37.09655,25.14182
2038,Μικρή Σάντα Μαρία,south-aegean-paros,Paros,PASS,none,"Μικρή Σάντα Μαρία, Paros",verified,"Μικρή Σάντα Μαρία, Paros",Μικρή Σάντα Μαρία,2,35,Μικρή Σάντα Μαρία,0,,37.13821,25.28734
2039,Μοναστήρι,south-aegean-paros,Paros,PASS,none,"Monastiri Beach, Paros",verified,"Monastiri Beach, Paros",Monastiri Beach,8,35,Monastiri Beach,0,,37.1463,25.22453
2041,Ναυτικός όμιλος Πάρου,south-aegean-paros,Paros,PASS,none,"Ναυτικός όμιλος Πάρου, Paros",verified,"Ναυτικός όμιλος Πάρου, Paros",Ναυτικός όμιλος Πάρου,1,35,Λιβάδια,63,,37.09379,25.15549
2042,Ξυφάρα,south-aegean-paros,Paros,PASS,none,"Ξυφάρα, Paros",verified,"Ξυφάρα, Paros",Ξυφάρα,33,35,Ξυφάρα,1,,37.12392,25.2642
2043,Παραλία Αγκάλη Χρυσής Ακτής,south-aegean-paros,Paros,PASS,none,"Παραλία Αγκάλη Χρυσής Ακτής, Paros",verified,"Παραλία Αγκάλη Χρυσής Ακτής, Paros",Παραλία Αγκάλη Χρυσής Ακτής,0,35,Παραλία Αγκάλη Χρυσής Ακτής,0,,37.01066,25.24052
2044,Παραλία Αλυκή,south-aegean-paros,Paros,PASS,none,"Παραλία Αλυκή, Paros",verified,"Παραλία Αλυκή, Paros",Παραλία Αλυκή,80,35,Παραλία Αλυκή,0,,36.99869,25.13095
2045,Παραλία Γλυφά,south-aegean-paros,Paros,PASS,none,"Παραλία Γλυφά, Paros",verified,"Παραλία Γλυφά, Paros",Παραλία Γλυφά,9,35,Παραλία Γλυφά,0,,36.98232,25.18951
2046,Παραλία Παροικιάς,south-aegean-paros,Paros,PASS,none,"Beach, Paros",verified,"Beach, Paros",Beach,0,35,Beach,0,,37.08187,25.14563
2047,Παρασπόρος,south-aegean-paros,Paros,PASS,none,"Παρασπόρος, Paros",verified,"Παρασπόρος, Paros",Παρασπόρος,37,35,Παρασπόρος,1,,37.07168,25.12703
2050,Πυργάκι,south-aegean-paros,Paros,PASS,none,"Pyrgaki beach, Paros",verified,"Pyrgaki beach, Paros",Pyrgaki beach,1,35,Pyrgaki beach,1,,36.99319,25.21823
2051,Σάντα Μαρία,south-aegean-paros,Paros,PASS,none,"Σάντα Μαρία, Paros",verified,"Σάντα Μαρία, Paros",Σάντα Μαρία,35,35,Σάντα Μαρία,1,,37.13149,25.27742
2052,Τούρκου Άμμος,south-aegean-paros,Paros,PASS,none,"Τούρκου Άμμος, Paros",verified,"Τούρκου Άμμος, Paros",Tourkou Ammos beach,18,35,Tourkou Ammos beach,0,,37.14409,25.23238
2053,Τσερδάκια (Νέα Χρυσή Ακτή),south-aegean-paros,Paros,PASS,none,"Τσερδάκια (Νέα Χρυσή Ακτή), Paros",verified,"Τσερδάκια (Νέα Χρυσή Ακτή), Paros",Τσερδάκια (Νέα Χρυσή Ακτή),61,35,Τσερδάκια (Νέα Χρυσή Ακτή),1,,37.01489,25.25013
2054,Τσουκαλιά,south-aegean-paros,Paros,PASS,none,"Τσουκαλιά, Paros",verified,"Τσουκαλιά, Paros",Tsoukalia Beach,70,35,Tsoukalia Beach,0,,37.06929,25.2629
2055,Φάραγγας,south-aegean-paros,Paros,PASS,none,"Φάραγγας, Paros",verified,"Φάραγγας, Paros",Φάραγγας,1,35,Φάραγγας,0,,36.98636,25.15582
2056,Χρυσή Ακτή,south-aegean-paros,Paros,PASS,none,"Παραλία Αγκάλη Χρυσής Ακτής, Paros",verified,"Παραλία Αγκάλη Χρυσής Ακτής, Paros",Παραλία Αγκάλη Χρυσής Ακτής,0,35,Παραλία Αγκάλη Χρυσής Ακτής,0,,37.010658,25.240516
1939,Αγία Άννα,south-aegean-mykonos,Mykonos,PASS,none,"Αγία Άννα, Mykonos",verified,"Αγία Άννα, Mykonos",Αγία Άννα,13,35,Αγία Άννα,1,,37.44886,25.32981
1940,Αγία Άννα Καλαφάτης,south-aegean-mykonos,Mykonos,PASS,none,"Αγία Άννα Καλαφάτης, Mykonos",verified,"Αγία Άννα Καλαφάτης, Mykonos",Αγία Άννα Καλαφάτης,4,35,Αγία Άννα Καλαφάτης,0,,37.43514,25.42033
1941,Αγία Άννα Παράγκας,south-aegean-mykonos,Mykonos,PASS,none,"Αγία Άννα Παράγκας, Mykonos",verified,"Αγία Άννα Παράγκας, Mykonos",Αγία Άννα Παράγκας,23,35,Αγία Άννα Παράγκας,1,,37.4093,25.348
1945,Άγιος Σώστης,south-aegean-mykonos,Mykonos,PASS,none,"Άγιος Σώστης, Mykonos",verified,"Άγιος Σώστης, Mykonos",Άγιος Σώστης,24,35,Άγιος Σώστης,0,,37.48411,25.3598
1946,Άγιος Χαράλαμπος,south-aegean-mykonos,Mykonos,PASS,none,"Άγιος Χαράλαμπος, Mykonos",verified,"Άγιος Χαράλαμπος, Mykonos",Άγιος Χαράλαμπος,1,35,Άγιος Χαράλαμπος,0,,37.44359,25.32567
1947,Αγράρι,south-aegean-mykonos,Mykonos,PASS,none,"Αγράρι, Mykonos",verified,"Αγράρι, Mykonos",Αγράρι,29,35,Αγράρι,1,,37.42108,25.383
1948,Βαθιά Λαγκάδα,south-aegean-mykonos,Mykonos,REVIEW,coordinates,"Vathia Lagada Beach, Mykonos",needs_review,"Vathia Lagada Beach, Mykonos",Vathia Lagada Beach,2,2,Vathia Lagada Beach,0,weak_name_match,37.46911,25.45904
1949,Γυμνιστική Παραλία Ελιάς,south-aegean-mykonos,Mykonos,REVIEW,coordinates,"Elia Nude Beach, Mykonos",needs_review,"Elia Nude Beach, Mykonos",Elia Nude Beach,2,0,Αγράρι,313,weak_name_match,37.42255,25.38601
1950,Ελιά,south-aegean-mykonos,Mykonos,PASS,none,"Ελιά, Mykonos",verified,"Ελιά, Mykonos",nrg - Elia Mykonos Resort,147,35,Ελιά,0,,37.42233,25.38964
1951,Καλαμοπόδι,south-aegean-mykonos,Mykonos,PASS,none,"Καλαμοπόδι, Mykonos",verified,"Καλαμοπόδι, Mykonos",Καλαμοπόδι,166,35,Paradise Beach,0,,37.41006,25.35676
1953,Καλό Λιβάδι,south-aegean-mykonos,Mykonos,PASS,none,"Καλό Λιβάδι, Mykonos",verified,"Καλό Λιβάδι, Mykonos",Καλό Λιβάδι,106,35,Καλό Λιβάδι,0,,37.43321,25.40612
1954,Κάπαρη,south-aegean-mykonos,Mykonos,PASS,none,"Κάπαρη, Mykonos",verified,"Κάπαρη, Mykonos",Κάπαρη,2,35,Κάπαρη,0,,37.42553,25.30465
1955,Καραπέτης,south-aegean-mykonos,Mykonos,PASS,none,"Καραπέτης, Mykonos",verified,"Καραπέτης, Mykonos",Καραπέτης,11,35,Καραπέτης,0,,37.42425,25.40254
1957,Κόρφος,south-aegean-mykonos,Mykonos,PASS,none,"Κόρφος, Mykonos",verified,"Κόρφος, Mykonos",Kite Mykonos,74,35,Κόρφος,0,,37.42656,25.32182
1958,Λιά,south-aegean-mykonos,Mykonos,PASS,none,"Λιά, Mykonos",verified,"Λιά, Mykonos",Λιά,26,35,Λιά,1,,37.44491,25.43644
1959,Λούλος,south-aegean-mykonos,Mykonos,PASS,none,"Λούλος, Mykonos",verified,"Λούλος, Mykonos",Λούλος,6,35,Λούλος,0,,37.43145,25.413
1961,Μεγάλη Άμμος,south-aegean-mykonos,Mykonos,PASS,none,"Μεγάλη Άμμος, Mykonos",verified,"Μεγάλη Άμμος, Mykonos",Μεγάλη Άμμος,30,35,Μεγάλη Άμμος,0,,37.43895,25.32631
1962,Μερσίνη,south-aegean-mykonos,Mykonos,PASS,none,"Μερσίνη, Mykonos",verified,"Μερσίνη, Mykonos",Μερσίνη,26,35,Μερσίνη,0,,37.48354,25.4056
1963,Μερχιά,south-aegean-mykonos,Mykonos,PASS,none,"Μερχιά, Mykonos",verified,"Μερχιά, Mykonos",Μερχιά,16,35,(unnamed),269,,37.47144,25.42868
1966,Παράγκα,south-aegean-mykonos,Mykonos,PASS,none,"Παράγκα, Mykonos",verified,"Παράγκα, Mykonos",Παράγκα,70,35,Παράγκα,0,,37.40746,25.34933
1967,παραλία Σωκράτης,south-aegean-mykonos,Mykonos,PASS,none,"παραλία Σωκράτης, Mykonos",verified,"παραλία Σωκράτης, Mykonos",παραλία Σωκράτης,11,35,παραλία Σωκράτης,0,,37.47226,25.43782
1971,Ταρσανάς,south-aegean-mykonos,Mykonos,PASS,none,"Ταρσανάς, Mykonos",verified,"Ταρσανάς, Mykonos",Ταρσανάς,7,35,Ταρσανάς,0,,37.46473,25.38023
1972,Τηγάνι,south-aegean-mykonos,Mykonos,PASS,none,"Τηγάνι, Mykonos",verified,"Τηγάνι, Mykonos",Τηγάνι,2,35,Vathia Lagada Beach,888,,37.46121,25.46051
1974,Τσαγκάρη,south-aegean-mykonos,Mykonos,PASS,none,"Τσαγκάρη, Mykonos",verified,"Τσαγκάρη, Mykonos",Τσαγκάρη,10,35,Τσαγκάρη,1,,37.44509,25.44092
1975,Φραγκιά,south-aegean-mykonos,Mykonos,PASS,none,"Φραγκιά, Mykonos",verified,"Φραγκιά, Mykonos",Φραγκιά,81,35,Φραγκιά,0,,37.44585,25.45126
1977,Φωκός,south-aegean-mykonos,Mykonos,PASS,none,"Φωκός, Mykonos",verified,"Φωκός, Mykonos",Φωκός,32,35,Φωκός,0,,37.48107,25.41047
1978,Χουλάκια,south-aegean-mykonos,Mykonos,PASS,none,"Χουλάκια, Mykonos",verified,"Χουλάκια, Mykonos",Χουλάκια,34,35,Χουλάκια,0,,37.47442,25.31304
1980,Super Paradise,south-aegean-mykonos,Mykonos,PASS,none,"Super Paradise, Mykonos",verified,"Super Paradise, Mykonos",Super Paradise,166,35,Plintri,0,,37.41476,25.36896
2057,Άγιος Γεώργιος,south-aegean-santorini,Santorini,PASS,none,"Άγιος Γεώργιος, Santorini",verified,"Άγιος Γεώργιος, Santorini",Άγιος Γεώργιος,38,35,Άγιος Γεώργιος,0,,36.33918,25.45417
2058,Βλυχάδα,south-aegean-santorini,Santorini,PASS,none,"Βλυχάδα, Santorini",verified,"Βλυχάδα, Santorini",Βλυχάδα,6,35,Βλυχάδα,0,,36.33931,25.43155
2059,Βουρβούλος,south-aegean-santorini,Santorini,PASS,none,"Vourvolos Beach, Santorini",verified,"Vourvolos Beach, Santorini",Vourvolos Strand,26,35,Vourvolos Beach,0,,36.45202,25.43921
2060,Γυμνιστική παραλία Βλυχάδα,south-aegean-santorini,Santorini,PASS,none,"Βλυχάδα, Santorini",verified,"Βλυχάδα, Santorini",Βλυχάδα,41,35,Βλυχάδα,37,,36.339042,25.431794
2066,Παραλία Κερκέζου,south-aegean-santorini,Santorini,PASS,none,"Παραλία Κερκέζου, Santorini",verified,"Παραλία Κερκέζου, Santorini",Παραλία Κερκέζου,58,35,Παραλία Κερκέζου,0,,36.36419,25.37163
2069,Κάθαρος,south-aegean-santorini,Santorini,PASS,none,"Κάθαρος, Santorini",verified,"Κάθαρος, Santorini",Katharos,16,35,Katharos,0,,36.46762,25.36828
1899,Άγιος Ιωάννης,south-aegean-milos,Milos,PASS,none,"Άγιος Ιωάννης, Milos",verified,"Άγιος Ιωάννης, Milos",Άγιος Ιωάννης,13,35,(unnamed),222,,36.67808,24.33194
1900,Άγιος Σώστης,south-aegean-milos,Milos,PASS,none,"Άγιος Σώστης, Milos",verified,"Άγιος Σώστης, Milos",Άγιος Σώστης,36,35,Κήποι,1415,,36.66942,24.44241
1901,Αγία Κυριακή,south-aegean-milos,Milos,PASS,none,"Αγία Κυριακή, Milos",verified,"Αγία Κυριακή, Milos",Αγία Κυριακή,188,35,Ψαροβολάδα,498,,36.66992,24.49844
1902,Αμμουδαράκι,south-aegean-milos,Milos,PASS,none,"Αμμουδαράκι, Milos",verified,"Αμμουδαράκι, Milos",Αμμουδαράκι,19,35,Αμμουδαράκι,0,,36.69885,24.33481
1903,Αχιβαδολίμνη,south-aegean-milos,Milos,PASS,none,"Αχιβαδολίμνη, Milos",verified,"Αχιβαδολίμνη, Milos",Αχιβαδολίμνη,74,35,Αχιβαδολίμνη,0,,36.69055,24.44973
1904,Γέροντας,south-aegean-milos,Milos,PASS,none,"Γέροντας, Milos",verified,"Γέροντας, Milos",Γέροντας,15,35,Γέροντας,0,,36.65571,24.3688
1905,Γερανιά,south-aegean-milos,Milos,PASS,none,"Γερανιά, Milos",verified,"Γερανιά, Milos",Γερανιά,1,35,Γερανιά,1,,36.7503,24.44778
1906,Θειάφες,south-aegean-milos,Milos,PASS,none,"Θειάφες, Milos",verified,"Θειάφες, Milos",Θειάφες,7,35,Θειάφες,0,,36.69413,24.54479
1907,Κάλαμος,south-aegean-milos,Milos,PASS,none,"Κάλαμος, Milos",verified,"Κάλαμος, Milos",Κάλαμος,9,35,Κάλαμος,0,,36.66135,24.47516
1908,Κάπρος,south-aegean-milos,Milos,PASS,none,"Κάπρος, Milos",verified,"Κάπρος, Milos",Κάπρος,2,35,Κάπρος,0,,36.75277,24.50198
1909,Κάτεργο,south-aegean-milos,Milos,PASS,none,"Κάτεργο, Milos",verified,"Κάτεργο, Milos",Κάτεργο,4,35,Κάτεργο,0,,36.6547,24.37721
1910,Κήποι,south-aegean-milos,Milos,PASS,none,"Κήποι, Milos",verified,"Κήποι, Milos",Κήποι,14,35,Κήποι,1,,36.66293,24.42877
1911,Καμπάνες,south-aegean-milos,Milos,PASS,none,"Καμπάνες, Milos",verified,"Καμπάνες, Milos",Καμπάνες,59,35,Καμπάνες,0,,36.76949,24.4143
1912,Λαγκάδα,south-aegean-milos,Milos,PASS,none,"Λαγκάδα, Milos",verified,"Λαγκάδα, Milos",Λαγκάδα,38,35,Λαγκάδα,0,,36.72487,24.44193
1913,Ναυτικός Όμιλος Μήλου,south-aegean-milos,Milos,PASS,none,"Ναυτικός Όμιλος Μήλου, Milos",verified,"Ναυτικός Όμιλος Μήλου, Milos",Ναυτικός Όμιλος Μήλου,3,35,Ναυτικός Όμιλος Μήλου,0,,36.71962,24.46006
1914,Νεροδάφνη,south-aegean-milos,Milos,PASS,none,"Νεροδάφνη, Milos",verified,"Νεροδάφνη, Milos",Νεροδάφνη,37,35,Νεροδάφνη,0,,36.76759,24.4118
1915,Παλαιοχώρι,south-aegean-milos,Milos,PASS,none,"Palaiochori beach, Milos, Greece",verified,"Palaiochori beach, Milos, Greece",Παλαιοχώρι,320,35,Ψαροβολάδα,1316,,36.67476,24.51782
1916,Παπάφραγκας,south-aegean-milos,Milos,PASS,none,"Παπάφραγκας, Milos",verified,"Παπάφραγκας, Milos",Παπάφραγκας,0,35,Παπάφραγκας,0,,36.75392,24.50346
1917,Παπικινού,south-aegean-milos,Milos,PASS,none,"Παπικινού, Milos",verified,"Παπικινού, Milos",Παπικινού,56,35,Παπικινού,0,,36.72233,24.45735
1918,Παραλία Αγγαθια,south-aegean-milos,Milos,PASS,none,"Παραλία Αγγαθια, Milos",verified,"Παραλία Αγγαθια, Milos",Παραλία Αγγαθια,12,35,Παραλία Αγγαθια,0,,36.72696,24.34178
1919,Πλάθιενα,south-aegean-milos,Milos,PASS,none,"Πλάθιενα, Milos",verified,"Πλάθιενα, Milos",Πλάθιενα,16,35,Πλάθιενα,1,,36.75422,24.41273
1920,Προβατάς,south-aegean-milos,Milos,PASS,none,"Provatas beach, Milos, Greece",verified,"Provatas beach, Milos, Greece",Προβατάς,85,35,Άγιος Σώστης,351,,36.66959,24.44634
1921,Ριβάρι,south-aegean-milos,Milos,PASS,none,"Ριβάρι, Milos",verified,"Ριβάρι, Milos",Ριβάρι,68,35,Ριβάρι,0,,36.70322,24.40162
1922,Σαρακήνικο,south-aegean-milos,Milos,PASS,none,"Sarakiniko beach, Milos, Greece",verified,"Sarakiniko beach, Milos, Greece",Σαρακήνικο,0,35,Σαρακήνικο,1,,36.74276,24.45831
1923,Τουρκοθάλασσα,south-aegean-milos,Milos,PASS,none,"Τουρκοθάλασσα, Milos",verified,"Τουρκοθάλασσα, Milos",Τουρκοθάλασσα,6,35,Τουρκοθάλασσα,0,,36.74889,24.44475
1924,Τριάδες,south-aegean-milos,Milos,PASS,none,"Τριάδες, Milos",verified,"Τριάδες, Milos",Τριάδες,4,35,Τριάδες,0,,36.7063933,24.3369804
1925,Τσιγκράδο,south-aegean-milos,Milos,PASS,none,"Τσιγκράδο, Milos",verified,"Τσιγκράδο, Milos",Τσιγκράδο,1,35,Τσιγκράδο,1,,36.66193,24.46934
1926,Φατούρενα,south-aegean-milos,Milos,PASS,none,"Φατούρενα, Milos",verified,"Φατούρενα, Milos",Φατούρενα,7,35,Φατούρενα,1,,36.70025,24.40789
1927,Φυριπλάκα,south-aegean-milos,Milos,PASS,none,"Φυριπλάκα, Milos",verified,"Φυριπλάκα, Milos",Φυριπλάκα,110,35,Τσιγκράδο,855,,36.66707,24.4622
1928,Φυρλίνγκος,south-aegean-milos,Milos,PASS,none,"Φυρλίνγκος, Milos",verified,"Φυρλίνγκος, Milos",Φυρλίνγκος,39,35,Φυρλίνγκος,0,,36.68186,24.53698
1929,Φυροπόταμος,south-aegean-milos,Milos,PASS,none,"Φυροπόταμος, Milos",verified,"Φυροπόταμος, Milos",Φυροπόταμος,24,35,Πλάθιενα,1391,,36.75783,24.42769
1930,Ψαθί,south-aegean-milos,Milos,PASS,none,"Ψαθί, Milos",verified,"Ψαθί, Milos",Ψαθί,22,35,Ψαθί,0,,36.65797,24.40811
1931,Ψαροβολάδα,south-aegean-milos,Milos,PASS,none,"Ψαροβολάδα, Milos",verified,"Ψαροβολάδα, Milos",Ψαροβολάδα,15,35,Ψαροβολάδα,0,,36.6708,24.50391
1932,Πολλώνια,south-aegean-milos,Milos,PASS,none,"Πολλώνια, Milos",verified,"Πολλώνια, Milos",Πολλώνια,46,35,Πολλώνια,0,,36.76458,24.52574
1933,Αγκάλη,south-aegean-milos,Milos,PASS,none,"Αγκάλη, Milos",verified,"Αγκάλη, Milos",Αγκάλη,16,35,Αγκάλη,1,,36.71696,24.54085
1934,Βούδια,south-aegean-milos,Milos,PASS,none,"Βούδια, Milos",verified,"Βούδια, Milos",Βούδια,82,35,Βούδια,0,,36.74841,24.53447
1935,Καστανάς,south-aegean-milos,Milos,PASS,none,"Καστανάς, Milos",verified,"Καστανάς, Milos",Καστανάς,22,35,Καστανάς,1,,36.73462,24.53818
1936,Κολυμπισιώνας,south-aegean-milos,Milos,PASS,none,"Κολυμπισιώνας, Milos",verified,"Κολυμπισιώνας, Milos",Κολυμπισιώνας,15,35,Κολυμπισιώνας,0,,36.72319,24.53845
1937,Ρέμα,south-aegean-milos,Milos,PASS,none,"Ρέμα, Milos",verified,"Ρέμα, Milos",Ρέμα,12,35,Ρέμα,0,,36.69887,24.54542
1938,Τρία Πηγάδια,south-aegean-milos,Milos,PASS,none,"Τρία Πηγάδια, Milos",verified,"Τρία Πηγάδια, Milos",Τρία Πηγάδια,10,35,Τρία Πηγάδια,1,,36.73015,24.53667
527,Άργιλος,crete-crete-chania,Crete (Chania),PASS,none,"Άργιλος, Chania, Crete",verified,"Άργιλος, Chania, Crete",Άργιλος,21,35,Άργιλος,0,,35.1808438,24.2562054
528,Βουλόλιμνη,crete-crete-chania,Crete (Chania),PASS,none,"Voulolimni, Chania",verified,"Voulolimni, Chania",Voulolimni,0,35,Voulolimni,0,,35.31514,23.53367
529,Βρύση,crete-crete-chania,Crete (Chania),PASS,none,"Βρύση, Chania, Crete",verified,"Βρύση, Chania, Crete",Βρύση,9,35,Βρύση,0,,35.2019505,24.1343326
530,Γιαλισκάρι,crete-crete-chania,Crete (Chania),REVIEW,coordinates,"Gianiskali Sandy Beach, Chania",needs_review,"Gianiskali Sandy Beach, Chania",Gianiskali Sandy Beach,9,0,Gianiskali Sandy Beach,0,weak_name_match,35.23675,23.71971
