prefecture,place,index,name,beforeAccess,afterAccess,beforeConfidence,afterConfidence,actions
Cyclades,Folegandros,4,Βάρδια,hiking_path_easy,unknown,medium,low,access:hiking_path_easy->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Folegandros,5,Βιτσέντζου,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Folegandros,6,Γάλιφος,hiking_path_easy,unknown,medium,low,access:hiking_path_easy->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Folegandros,9,Λατινάκι,hiking_path_easy,unknown,medium,low,access:hiking_path_easy->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Folegandros,11,Λιβάδι,asphalt_road,asphalt_road,medium,low,confidence:medium->low|added_low_evidence_note
Cyclades,Folegandros,12,Λυγαριά,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Folegandros,13,Παραλία Βορεινά,hiking_path_easy,unknown,medium,low,access:hiking_path_easy->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Folegandros,14,Πουντάκι,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Folegandros,15,Φηρά,hiking_path_easy,unknown,medium,low,access:hiking_path_easy->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Ios,1,Gero Aggeli,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Ios,2,Kalo Avlaki,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Ios,3,Plakotos,passable_dirt_road,unknown,low,low,access:passable_dirt_road->unknown|added_low_evidence_note
Cyclades,Ios,5,Αγία Κυριακή,passable_dirt_road,unknown,low,low,access:passable_dirt_road->unknown|added_low_evidence_note
Cyclades,Ios,7,Αλμυρός,asphalt_road,asphalt_road,medium,low,confidence:medium->low|added_low_evidence_note
Cyclades,Ios,8,Αντώναρου,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Ios,9,Βαθύ Ρέμα,passable_dirt_road,unknown,low,low,access:passable_dirt_road->unknown|added_low_evidence_note
Cyclades,Ios,11,Διαμμούδια,passable_dirt_road,unknown,low,low,access:passable_dirt_road->unknown|added_low_evidence_note
Cyclades,Ios,13,Καμπάκι,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Ios,14,Καρατζάς,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Ios,20,Κρεμαστό,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Ios,22,Λουκά Αυλάκι,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Ios,24,Μανούσου,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Ios,26,Νεράκι,hiking_path_easy,unknown,medium,low,access:hiking_path_easy->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Ios,29,Παναγιά,passable_dirt_road,unknown,low,low,access:passable_dirt_road->unknown|added_low_evidence_note
Cyclades,Ios,31,Πεπάνη,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Ios,32,Περάμμος,passable_dirt_road,unknown,low,low,access:passable_dirt_road->unknown|added_low_evidence_note
Cyclades,Ios,33,Πηγάδι,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Ios,36,Ρούσσου,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Ios,37,Σαντορινέικο,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Ios,39,Σοφιάς Αυλάκι,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Ios,41,Το αυλάκι τού Βηζίρη,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Ios,42,Τουρλά,passable_dirt_road,unknown,low,low,access:passable_dirt_road->unknown|added_low_evidence_note
Cyclades,Ios,47,Χάλαρα,passable_dirt_road,unknown,low,low,access:passable_dirt_road->unknown|added_low_evidence_note
Cyclades,Kea,0,Άγιος Φίλιππος,passable_dirt_road,unknown,low,low,access:passable_dirt_road->unknown|added_low_evidence_note
Cyclades,Kea,1,Αβύθου,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Kea,2,Βλαντή,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Kea,3,Βρόσκοπος,passable_dirt_road,unknown,medium,low,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Kea,5,Καλαμίτσι,passable_dirt_road,unknown,low,low,access:passable_dirt_road->unknown|added_low_evidence_note
Cyclades,Kea,6,Καληδονύχι,passable_dirt_road,unknown,low,low,access:passable_dirt_road->unknown|added_low_evidence_note
Cyclades,Kea,7,Καλησκιά,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Kea,8,Καλόγηρος,passable_dirt_road,unknown,low,low,access:passable_dirt_road->unknown|added_low_evidence_note
Cyclades,Kea,9,Καμπί,asphalt_road,asphalt_road,medium,low,confidence:medium->low|added_low_evidence_note
Cyclades,Kea,10,Καστριανή,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Kea,12,Λαδού,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Kea,13,Λιπαρό,asphalt_road,asphalt_road,medium,low,confidence:medium->low|added_low_evidence_note
Cyclades,Kea,14,Λυγιά,passable_dirt_road,unknown,low,low,access:passable_dirt_road->unknown|added_low_evidence_note
Cyclades,Kea,15,Μαβιά,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Kea,16,Μαυραμπέλι,passable_dirt_road,unknown,medium,low,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Kea,17,Μεγάλες Πόλες,hiking_path_easy,unknown,medium,low,access:hiking_path_easy->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Kea,18,Μικρές Πόλες,hiking_path_easy,unknown,medium,low,access:hiking_path_easy->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Kea,20,Ορκός,passable_dirt_road,unknown,medium,low,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Kea,22,Πετρούσα,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Kea,24,Σιδερού,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Kea,26,Στέφα,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Kea,27,Συκαμιά,passable_dirt_road,unknown,medium,low,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Kea,28,Σχίνος,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Kea,29,Τηλέγραφος,passable_dirt_road,unknown,low,low,access:passable_dirt_road->unknown|added_low_evidence_note
Cyclades,Kea,30,Φρέας,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Kea,31,Χυλιαμόδου,passable_dirt_road,unknown,low,low,access:passable_dirt_road->unknown|added_low_evidence_note
Cyclades,Kea,32,Ψαθί,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Kea,33,Ψιλή Άμμος,passable_dirt_road,unknown,low,low,access:passable_dirt_road->unknown|added_low_evidence_note
Cyclades,Kimolos,0,Αγιόκλημα,hiking_path_easy,unknown,medium,low,access:hiking_path_easy->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Kimolos,1,Άγιος Μηνάς,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Kimolos,3,Βρουλίδι,hiking_path_easy,unknown,medium,low,access:hiking_path_easy->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Kimolos,4,Βρωμολίμνη,hiking_path_easy,unknown,medium,low,access:hiking_path_easy->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Kimolos,5,Γκιώνη,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Kimolos,6,Ελληνικά,passable_dirt_road,unknown,medium,low,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Kimolos,7,Θερμά,hiking_path_easy,unknown,medium,low,access:hiking_path_easy->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Kimolos,9,Κλήμα,asphalt_road,asphalt_road,medium,low,confidence:medium->low|added_low_evidence_note
Cyclades,Kimolos,10,Λάκος,asphalt_road,asphalt_road,low,low,added_low_evidence_note
Cyclades,Kimolos,11,Μακροπούντα,hiking_path_easy,unknown,medium,low,access:hiking_path_easy->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Kimolos,13,Μερσίνα,passable_dirt_road,unknown,low,low,access:passable_dirt_road->unknown|added_low_evidence_note
Cyclades,Kimolos,14,Μοναστήρια,passable_dirt_road,unknown,medium,low,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Koufonisia,1,Αφρυανιά,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Koufonisia,2,Γενούπας,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Koufonisia,4,Ιταλίδα,hiking_path_easy,unknown,medium,low,access:hiking_path_easy->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Koufonisia,5,Λάκοι,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Koufonisia,7,Λίμνη,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Koufonisia,8,Λίμνη,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Koufonisia,9,Λίμνη,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Koufonisia,10,Λουτρό,hiking_path_easy,unknown,medium,low,access:hiking_path_easy->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Koufonisia,14,Πόρτα,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Kythnos,1,Άγιος Ιωάννης,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Kythnos,2,Άγιος Νικόλαος,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Kythnos,4,Άγιος Σώστης,passable_dirt_road,unknown,medium,low,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Kythnos,6,Αγκορίτσα,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Kythnos,7,Αλυκή,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Kythnos,8,Αντώνηδες,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Kythnos,10,Αόσα,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Kythnos,11,Βασιλικό,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Kythnos,12,Γαλάζια Ακτή,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Kythnos,13,Γαϊδουρόμαντρα,passable_dirt_road,unknown,medium,low,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Kythnos,15,Ζογκάκι,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Kythnos,16,Καβουροχέρι,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Kythnos,17,Κακή Μαρία,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Kythnos,18,Καλό Λιβάδι,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Kythnos,19,Καστέλλα,passable_dirt_road,unknown,medium,low,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Kythnos,20,Κολοβελόνη,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Kythnos,21,Κουρή,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Kythnos,22,Λαγκούση,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Kythnos,23,Λεύκες,passable_dirt_road,unknown,medium,low,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Kythnos,24,Λιβαδάκι,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Kythnos,25,Μαρκουλη,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Kythnos,26,Μαρούλα,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Kythnos,28,Μικρό Λιβαδάκι,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Kythnos,29,Νίκα,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Kythnos,31,Πετρούσα,passable_dirt_road,unknown,medium,low,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Kythnos,32,Ποντίκια,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Kythnos,33,Ποταμιά,passable_dirt_road,unknown,medium,low,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Kythnos,34,Σι Μου Σι,passable_dirt_road,unknown,medium,low,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Kythnos,35,Σκινάρι,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Kythnos,36,Σκλαβός,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Kythnos,37,Σκύλου,passable_dirt_road,unknown,medium,low,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Kythnos,38,Στύφος,passable_dirt_road,unknown,medium,low,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Milos,0,Άγιος Δημήτριος,asphalt_road,asphalt_road,low,low,added_low_evidence_note
Cyclades,Milos,2,Άγιος Σώστης,asphalt_road,asphalt_road,low,low,added_low_evidence_note
Cyclades,Milos,7,Γερανιά,asphalt_road,asphalt_road,low,low,added_low_evidence_note
Cyclades,Milos,9,Κάλαμος,asphalt_road,asphalt_road,low,low,added_low_evidence_note
Cyclades,Milos,10,Κάπρος,asphalt_road,asphalt_road,low,low,added_low_evidence_note
Cyclades,Milos,12,Κήποι,asphalt_road,asphalt_road,low,low,added_low_evidence_note
Cyclades,Milos,13,Καμπάνες,asphalt_road,asphalt_road,low,low,added_low_evidence_note
Cyclades,Milos,14,Λαγκάδα,asphalt_road,asphalt_road,low,low,added_low_evidence_note
Cyclades,Milos,15,Ναυτικός Όμιλος Μήλου,asphalt_road,asphalt_road,low,low,added_low_evidence_note
Cyclades,Milos,16,Νεροδάφνη,asphalt_road,asphalt_road,low,low,added_low_evidence_note
Cyclades,Milos,18,Παπάφραγκας,hiking_path_easy,unknown,medium,low,access:hiking_path_easy->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Milos,20,Παραλία Αγγαθια,asphalt_road,asphalt_road,low,low,added_low_evidence_note
Cyclades,Milos,23,Ριβάρι,asphalt_road,asphalt_road,low,low,added_low_evidence_note
Cyclades,Milos,24,Σαρακήνικο,asphalt_road,asphalt_road,medium,low,confidence:medium->low|added_low_evidence_note
Cyclades,Milos,25,Τουρκοθάλασσα,asphalt_road,asphalt_road,low,low,added_low_evidence_note
Cyclades,Milos,28,Φατούρενα,asphalt_road,asphalt_road,low,low,added_low_evidence_note
Cyclades,Milos,30,Φυρλίνγκος,asphalt_road,asphalt_road,low,low,added_low_evidence_note
Cyclades,Milos,32,Ψαθί,asphalt_road,asphalt_road,low,low,added_low_evidence_note
Cyclades,Milos,33,Ψαροβολάδα,asphalt_road,asphalt_road,low,low,added_low_evidence_note
Cyclades,Milos,35,Αγκάλη,asphalt_road,asphalt_road,low,low,added_low_evidence_note
Cyclades,Milos,36,Βούδια,asphalt_road,asphalt_road,medium,low,confidence:medium->low|added_low_evidence_note
Cyclades,Milos,37,Καστανάς,passable_dirt_road,unknown,medium,low,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Milos,38,Κολυμπισιώνας,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Milos,39,Ρέμα,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Milos,40,Τρία Πηγάδια,passable_dirt_road,unknown,medium,low,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Mykonos,15,Κάπαρη,passable_dirt_road,unknown,medium,low,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Mykonos,17,Κάτω Τηγάνι,passable_dirt_road,unknown,medium,low,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Mykonos,20,Λούλος,passable_dirt_road,unknown,medium,low,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Mykonos,23,Μερσίνη,passable_dirt_road,unknown,medium,low,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Mykonos,24,Μερχιά,passable_dirt_road,unknown,medium,low,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Mykonos,33,Τηγάνι,passable_dirt_road,unknown,medium,low,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Mykonos,36,Φραγκιά,passable_dirt_road,unknown,medium,low,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Naxos,21,Παραλία Λιμνάρι,passable_dirt_road,unknown,low,low,access:passable_dirt_road->unknown|added_low_evidence_note
Cyclades,Naxos,23,Μελινό,passable_dirt_road,unknown,low,low,access:passable_dirt_road->unknown|added_low_evidence_note
Cyclades,Naxos,34,Παραλία Σπεδό,passable_dirt_road,unknown,low,low,access:passable_dirt_road->unknown|added_low_evidence_note
Cyclades,Naxos,37,Παραλία Ψωφαγριλιά,passable_dirt_road,unknown,low,low,access:passable_dirt_road->unknown|added_low_evidence_note
Cyclades,Paros,1,Άγιος Δημήτριος,asphalt_road,asphalt_road,low,low,added_low_evidence_note
Cyclades,Paros,2,Άγιος Στέφανος,asphalt_road,asphalt_road,low,low,added_low_evidence_note
Cyclades,Paros,3,Αμπελάς,asphalt_road,asphalt_road,medium,low,confidence:medium->low|added_low_evidence_note
Cyclades,Paros,4,Άσπρος Γκρεμός,asphalt_road,asphalt_road,low,low,added_low_evidence_note
Cyclades,Paros,5,Βουτάκος,passable_dirt_road,unknown,medium,low,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Paros,6,Γλυφάδες,passable_dirt_road,unknown,medium,low,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
